target,뜻,기존레벨,제안레벨,zipf,조회형,변경
고안,연구하여 새로운 안을 생각해 냄. 또는 그 안.,1,2,3.83,고안,Y
파생,사물이 어떤 근원으로부터 갈려 나와 생김,1,2,3.83,파생,Y
회상,지난 일을 돌이켜 생각함. 또는 그런 생각,1,2,3.83,회상,Y
담보,맡아서 보증함,1,2,3.83,담보,Y
발산,"감정, 슬픔, 욕망 등을 겉으로 드러내거나 그것을 드러내어 풀어 없앰",3,2,3.82,발산,Y
대역,어떤 폭으로써 정해진 범위. 최대 주파수에서 최저 주파수까지의 구역을 말한다,1,2,3.82,대역,Y
실태,있는 그대로의 상태. 또는 실제의 모양,1,2,3.82,실태,Y
뿌듯하다,기쁨이나 감격이 마음에 가득 차서 벅차다,1,2,3.82,뿌듯하다,Y
전래,예로부터 전하여 내려옴,1,2,3.81,전래,Y
두루,빠짐없이 골고루,1,2,3.81,두루,Y
비장하다,슬프면서도 그 감정을 억눌러 씩씩하고 장하다,3,2,3.81,비장하다,Y
협동,서로 마음과 힘을 하나로 합함,1,2,3.81,협동,Y
수반,"행정부 등 조직의 우두머리, 으뜸가는 자리에 있는 사람",3,2,3.80,수반,Y
파편화,전체적인 조화를 잃고 미세한 조각들로 어수선하게 나누어지는 현상,1,2,3.80,파편화,Y
추종,남의 뒤를 따라서 좇음.,1,2,3.80,추종,Y
교섭,어떤 일을 이루기 위하여 서로 의논하고 절충함,1,2,3.80,교섭,Y
부럽다,남의 좋은 일이나 물건을 보고 자기도 그렇게 되고 싶다,1,2,3.80,부럽다,Y
절약,함부로 쓰지 아니하고 꼭 필요한 데에만 써서 아낌,1,2,3.80,절약,Y
저축,절약하여 모아 둠,1,2,3.80,저축,Y
살피다,두루두루 주의하여 자세히 보다,1,2,3.80,살피다,Y
어긋나다,서로 맞지 않고 빗나가다,1,2,3.79,어긋나다,Y
유한성,인간이나 존재가 영원하지 못하고 일정한 시공간적 한계를 지님,3,2,3.79,유한성,Y
만료,기한이 다 차서 끝남,1,2,3.79,만료,Y
검열,어떤 행위나 사업 따위를 살펴 조사하는 일,1,2,3.79,검열,Y
구실,자기가 마땅히 해야 할 맡은 바 책임,1,2,3.79,구실,Y
충고,남의 결함이나 잘못을 진심으로 타이름,1,2,3.79,충고,Y
방황,확고한 이정표를 잃고 마음의 안정을 찾지 못해 이리저리 방황하고 헤맴,1,2,3.78,방황,Y
상응,서로 응하거나 어울림,1,2,3.78,상응,Y
상정,어떤 상황이나 조건을 임시로 머릿속에 가정하여 생각함,3,2,3.77,상정,Y
부각,어떤 사물을 특징지어 두드러지게 함,1,2,3.77,부각,Y
장려,좋은 일에 힘쓰도록 북돋아 줌,1,2,3.77,장려,Y
족보,한 가문의 계통과 혈통 관계를 적어 기록한 책,1,2,3.77,족보,Y
실존,구체적이고 현실적으로 존재하는 인간 주체의 주체적인 존재 방식,3,2,3.76,실존,Y
굴복,힘이 모자라서 복종함,1,2,3.76,굴복,Y
관습,어떤 사회에서 오랫동안 지켜 내려와 그 사회 성원들이 널리 인정하는 질서나 풍습,1,2,3.76,관습,Y
인프라,"생산이나 생활, 혹은 어떤 현상의 기반을 형성하는 중요한 토대",1,2,3.75,인프라,Y
분별,서로 다른 일이나 사물을 구별하여 가름,1,2,3.75,분별,Y
발상,어떤 생각을 해 냄. 또는 그 생각,1,2,3.75,발상,Y
단행,결단하여 실행함,1,2,3.75,단행,Y
배양,"인격, 역량, 사상 따위가 발전하도록 가르치고 키움",1,2,3.75,배양,Y
반론,"남의 논설이나 비난, 논평 따위에 대하여 반박함. 또는 그런 논설",1,2,3.75,반론,Y
파문,수면에 이는 물결.,1,2,3.74,파문,Y
공론,여럿이 의논함. 또는 그런 의논.,1,2,3.74,공론,Y
과시,자랑하여 보임,1,2,3.74,과시,Y
자질,타고난 성품이나 소질,1,2,3.74,자질,Y
현존,현재 살아 있음,1,2,3.74,현존,Y
유익,이롭거나 도움이 될 만한 것이 있음,1,2,3.74,유익,Y
동향,어떤 현상이나 사태가 움직여 가는 방향,1,2,3.73,동향,Y
동향,고향이 같음. 또는 고향이 같은 사람,1,2,3.73,동향,Y
직관적,복잡한 사고나 추리를 거치지 않고 본질을 직접적으로 파악하는 것,1,2,3.73,직관적,Y
혼동,구별하지 못하고 뒤섞어서 생각함,1,2,3.73,혼동,Y
부합,사물이나 현상이 서로 꼭 들어맞음,1,2,3.72,부합,Y
부합,서로 맞대어 붙임,1,2,3.72,부합,Y
소외,인간이 자신이 창조한 물질이나 사회 체제에 지배당하여 인간성을 상실하고 고립되는 현상,3,2,3.72,소외,Y
유체,기체와 액체를 아울러 이르는 말.,1,2,3.72,유체,Y
절감,아끼어 줄임,1,2,3.72,절감,Y
우월,다른 것보다 나음,1,2,3.72,우월,Y
징수,"나라, 공공 단체, 지주 등이 돈, 곡식, 물품 따위를 거두어들임.",1,2,3.72,징수,Y
화합,화목하게 어울림.,1,2,3.72,화합,Y
수심,매우 근심함. 또는 그런 마음,3,2,3.72,수심,Y
자기소외,자신의 주체적인 본질을 잃어버리고 스스로에게 낯설어지는 상태,3,2,3.71,자기소외,Y
산물,일정한 곳에서 생산되어 나오는 물건.,1,2,3.71,산물,Y
허구,사실에 없는 일을 사실처럼 꾸며 만듦,1,2,3.71,허구,Y
은폐,덮어 감추거나 가리어 숨김,1,2,3.71,은폐,Y
고찰,깊이 생각하고 면밀히 연구함,3,2,3.70,고찰,Y
표방,어떤 명목을 붙여 주의나 주장 또는 처지를 앞에 내세움,1,2,3.70,표방,Y
기만,진실을 교묘히 왜곡하여 타인이나 자기 자신을 속이고 홀림,3,2,3.69,기만,Y
종속,주된 것에 딸려 붙거나 그 지배를 받음,3,2,3.69,종속,Y
환원,복잡한 사물이나 현상을 더 근본적이고 단순한 요소로 되돌려 설명함,3,2,3.69,환원,Y
교란,"마음이나 상황 따위를 뒤흔들어서 어지럽고 혼란하게 함. ‘어지럽힘’, ‘혼란스럽게 만듦’으로",1,2,3.69,교란,Y
구비,있어야 할 것을 빠짐없이 다 갖춤.,1,2,3.69,구비,Y
선점,남보다 앞서서 차지함,1,2,3.69,선점,Y
총체,있는 것들을 모두 하나로 합친 전부 또는 전체,1,2,3.69,총체,Y
기피,꺼리거나 싫어하여 피함,1,2,3.69,기피,Y
감격,마음에 깊이 느끼어 크게 감동함. 또는 그 감동,1,2,3.69,감격,Y
미학,아름다움의 본질과 그것을 구현하는 예술을 탐구하는 학문이나 관점,3,2,3.68,미학,Y
예지,사물의 이치와 본질을 정확하고 날카롭게 꿰뚫어 보는 신비로운 지혜,3,2,3.68,예지,Y
염두,생각의 시초,1,2,3.68,염두,Y
여건,주어진 조건,1,2,3.68,여건,Y
민망하다,낯을 들고 대하기가 부끄럽다,1,2,3.68,민망하다,Y
필연,사물의 관련이나 일의 결과가 반드시 그렇게 될 수밖에 없음,1,2,3.67,필연,Y
척도,평가하거나 측정할 때 의거할 기준,1,2,3.67,척도,Y
추론,미루어 생각하여 논함,1,2,3.67,추론,Y
미련,깨끗이 잊지 못하고 끌리는 데가 남아 있는 마음,1,2,3.67,미련,Y
귀속,"재산, 권리, 혹은 소속감 등이 마땅히 특정 존재나 주체에게 딸려 속함",3,2,3.66,귀속,Y
메커니즘,사물이나 현상이 일정한 인과 관계에 따라 작동하는 방식이나 구조,3,2,3.66,메커니즘,Y
이윤,장사 따위를 하여 남은 돈,1,2,3.66,이윤,Y
거시적,작은 부분에 얽매이지 않고 전체를 넓게 보는 것,3,2,3.65,거시적,Y
공명,남의 사상이나 감정에 깊이 동감하여 마음에 울림을 일으킴,3,2,3.65,공명,Y
편향,한쪽으로 치우침,1,2,3.65,편향,Y
강구,좋은 대책과 방법을 궁리하여 찾아내거나 좋은 대책을 세움,1,2,3.65,강구,Y
전승,"문화, 풍속, 제도 따위를 이어받아 계승함. 또는 그것을 물려주어 잇게 함",1,2,3.65,전승,Y
요령,일을 하는 데 꼭 필요한 묘한 이치나 방법.,1,2,3.64,요령,Y
애착,몹시 사랑하거나 끌리어서 떨어지지 아니함. 또는 그런 마음,1,2,3.64,애착,Y
제동,기계나 자동차 따위의 운동을 멈추게 함,1,2,3.64,제동,Y
풍자,남의 결점을 다른 것에 빗대어 비웃으면서 폭로하고 공격함,1,2,3.64,풍자,Y
부양,생활 능력이 없는 사람의 생활을 돌봄,1,2,3.64,부양,Y
결단,결정적인 판단을 하거나 단정을 내림. 또는 그런 판단이나 단정,1,2,3.64,결단,Y
가령,가정하여 말하여.,1,2,3.63,가령,Y
걸작,매우 훌륭한 작품,1,2,3.63,걸작,Y
회귀,한 바퀴 돌아 제자리로 돌아오거나 돌아감,1,2,3.63,회귀,Y
환기,"주의나 여론, 생각 따위를 불러일으킴",1,2,3.63,환기,Y
집결,한군데로 모이거나 모여 뭉침. 또는 한군데로 모으거나 모아 뭉치게 함,1,2,3.63,집결,Y
협찬,힘을 합하여 도움,1,2,3.62,협찬,Y
내포,어떤 성질이나 뜻 따위를 속에 품음,1,2,3.62,내포,Y
국한,범위나 한계를 일정한 부분에 한정함,3,2,3.61,국한,Y
간과,큰 관심 없이 대강 보아 넘김,1,2,3.61,간과,Y
경륜,일정한 포부를 가지고 일을 조직적으로 계획함. 또는 그 계획이나 포부,1,2,3.61,경륜,Y
안도,어떤 일이 잘 진행되어 마음을 놓음,1,2,3.61,안도,Y
초조하다,애가 타서 마음이 조마조마하다,1,2,3.60,초조하다,Y
열람,책이나 문서 따위를 죽 훑어보거나 조사하면서 봄,1,2,3.59,열람,Y
입안,어떤 안(案)을 세움. 또는 그 안건,1,2,3.59,입안,Y
단언,주저하지 아니하고 딱 잘라 말함,1,2,3.59,단언,Y
가중,책임이나 부담 따위를 더 무겁게 함,1,2,3.59,가중,Y
존속,어떤 대상이 그대로 있거나 어떤 현상이 계속됨,1,2,3.59,존속,Y
꼼꼼하다,빈틈이 없이 차분하고 조심스럽다,1,2,3.59,꼼꼼하다,Y
자생적,외부의 도움이나 강요 없이 스스로 생겨나 자라는 것,3,2,3.58,자생적,Y
충당,모자라는 것을 채워 메움,1,2,3.58,충당,Y
자생,자기 자신의 힘으로 살아감,1,2,3.58,자생,Y
통용,일반적으로 두루 씀,1,2,3.57,통용,Y
오차,실지로 셈하거나 측정한 값과 이론적으로 정확한 값과의 차이,1,2,3.57,오차,Y
상설,(주로 일부 명사 앞에 쓰여) 언제든지 이용할 수 있도록 설비와 시설을 갖추어 둠,1,2,3.57,상설,Y
적성,어떤 일에 알맞은 성질이나 적응 능력. 또는 그와 같은 소질이나 성격,1,2,3.57,적성,Y
황폐,"집, 토지, 삼림 따위가 거칠어져 못 쓰게 됨",1,2,3.57,황폐,Y
인내심,괴로움이나 어려움을 참고 견디는 마음,1,2,3.57,인내심,Y
천체,"우주에 존재하는 모든 물체. 항성, 행성, 위성, 혜성, 성단, 성운, 성간 물질, 인공위",1,2,3.56,천체,Y
포상,칭찬하고 장려하여 상을 줌,1,2,3.56,포상,Y
신명,흥겨운 신이나 멋,1,2,3.56,신명,Y
하중,"어떤 물체 따위의 무게. ‘무게’, ‘짐 무게’로 순화",1,2,3.55,하중,Y
결여,마땅히 있어야 할 것이 빠져서 없거나 모자람.,1,2,3.55,결여,Y
반감,반대하거나 반항하는 감정,1,2,3.55,반감,Y
환산,어떤 단위나 척도로 된 것을 다른 단위나 척도로 고쳐서 헤아림,1,2,3.54,환산,Y
수식,겉모양을 꾸밈,1,2,3.54,수식,Y
연마,"주로 돌이나 쇠붙이, 보석, 유리 따위의 고체를 갈고 닦아서 표면을 반질반질하게 함",1,2,3.54,연마,Y
대동,큰 세력이 합동함,1,2,3.54,대동,Y
습기,물기가 많아 젖은 듯한 기운,1,2,3.54,습기,Y
지평,사물이나 사상을 바라보고 이해하는 인식의 범위나 새로운 경계,3,2,3.53,지평,Y
재원,재화나 자금이 나올 원천.,1,2,3.53,재원,Y
위축,마르거나 시들어서 우그러지고 쭈그러듦,1,2,3.53,위축,Y
서문,책이나 논문 따위의 첫머리에 내용이나 목적 따위를 간략하게 적은 글.,1,2,3.53,서문,Y
준거,사물의 정도나 성격 따위를 알기 위한 근거나 기준,1,2,3.53,준거,Y
편찬,여러 가지 자료를 모아 체계적으로 정리하여 책을 만듦.,1,2,3.53,편찬,Y
기조,바탕에 흐르는 기본적인 방향이나 성격,3,2,3.52,기조,Y
변모,모양이나 모습이 달라지거나 바뀜. 또는 그 모양이나 모습,1,2,3.52,변모,Y
경직,몸 따위가 굳어서 뻣뻣하게 됨. ‘굳음’으로 순화,1,2,3.52,경직,Y
약정,어떤 일을 약속하여 정함,1,2,3.51,약정,Y
쟁점,서로 다투는 중심이 되는 점,1,2,3.51,쟁점,Y
서운하다,마음에 차지 않아 섭섭하다,1,2,3.51,서운하다,Y
소명,스스로를 바쳐 실현해야 한다고 느끼는 인생의 숭고한 사명이나 역할,3,2,3.50,소명,Y
유예,일을 실행하지 않고 기한을 미루거나 늦춤,3,2,3.50,유예,Y
고갈,자원이나 물자 따위가 다하여 없어짐,1,2,3.50,고갈,Y
난관,일을 하여 나가면서 부딪치는 어려운 고비,1,2,3.50,난관,Y
복습,배운 것을 다시 익힘,1,2,3.50,복습,Y
대칭성,사물의 각 부분이 균형을 이루며 서로 마주 보고 조화를 이루는 성질,3,2,3.49,대칭성,Y
명제,논리학에서 참과 거짓을 판별할 수 있는 논리적 진술,3,2,3.49,명제,Y
변혁,사회의 낡은 질서나 상태를 근본적으로 바꾸어 새롭게 함,3,2,3.49,변혁,Y
진부,"사상, 표현, 행동 등이 새롭지 못하고 낡음",1,2,3.49,진부,Y
공해,산업이나 교통의 발달에 따라 사람이나 생물이 입게 되는 여러 가지 피해.,1,2,3.49,공해,Y
효용,보람 있게 쓰거나 쓰임. 또는 그런 보람이나 쓸모,1,2,3.49,효용,Y
차용,돈이나 물건 따위를 빌려서 씀,1,2,3.49,차용,Y
승화,억눌린 충동이나 슬픔 등의 부정적 감정을 예술이나 학문 등 가치 있는 활동으로 바꾸어 표현함,3,2,3.48,승화,Y
패러다임,어떤 한 시대 사람들의 사고를 근본적으로 규정하는 인식의 틀,3,2,3.48,패러다임,Y
국면,어떤 일이 벌어진 장면이나 형편,1,2,3.48,국면,Y
쇠퇴,기세나 상태가 쇠하여 전보다 못하여 감,1,2,3.48,쇠퇴,Y
촉매,어떤 일을 유도하거나 변화시키는 계기가 되는 것. 화학 반응의 속도를 변화시키는 물질,1,2,3.48,촉매,Y
순응,"환경이나 변화에 적응하여 익숙하여지거나 체계, 명령 따위에 적응하여 따름",1,2,3.48,순응,Y
역경,일이 순조롭지 않아 매우 어렵게 된 처지나 환경,1,2,3.47,역경,Y
염원,마음에 간절히 생각하고 기원함. 또는 그런 것. ‘바람,1,2,3.47,염원,Y
결속,뜻이나 뜻을 같이하여 마음이나 힘을 하나로 굳게 묶음,1,2,3.46,결속,Y
저해,막아서 못하도록 해침,1,2,3.46,저해,Y
담론,이야기를 주고받으며 논의함,3,2,3.46,담론,Y
중첩,거듭 겹치거나 포개어짐.,1,2,3.46,중첩,Y
응고,액체 따위가 엉겨서 뭉쳐 딱딱하게 굳어짐,1,2,3.46,응고,Y
고뇌,괴로워하고 번뇌함,1,2,3.46,고뇌,Y
쾌감,상쾌하고 즐거운 느낌,1,2,3.46,쾌감,Y
위계,벼슬의 품계,1,2,3.45,위계,Y
가변성,상황에 따라 변하기 쉬운 성질,1,2,3.44,가변,Y
견지,어떤 입장이나 태도를 굳게 이어 나감,3,2,3.44,견지,Y
말살,있는 사물을 뭉개어 아주 없애 버림,1,2,3.44,말살,Y
고심,몹시 애를 태우며 마음을 씀. ‘애씀’으로 순화,1,2,3.44,고심,Y
판도,한 나라의 영토. 또는 어떤 세력이 미치는 영역이나 범위,1,2,3.43,판도,Y
유망,(일부 명사 앞에 쓰여) 앞으로 잘될 듯한 희망이나 전망이 있음,1,2,3.43,유망,Y
비약,논리나 사고 등이 단계를 밟지 않고 건너뜀,1,2,3.43,비약,Y
고취,"힘이나 의지, 감정 등을 돋우고 부추겨 일으킴",3,2,3.42,고취,Y
병렬,나란히 늘어섬. 또는 나란히 늘어놓음,1,2,3.42,병렬,Y
표상,감각적으로 지각된 외부 대상을 의식 속에 나타낸 상이나 생각,3,2,3.41,표상,Y
미덕,아름답고 갸륵한 덕행.,1,2,3.41,미덕,Y
이견,어떠한 의견에 대한 다른 의견. 또는 서로 다른 의견,1,2,3.41,이견,Y
영위,일을 꾸려 나감,1,2,3.41,영위,Y
반증,어떤 사실이나 주장이 옳지 아니함을 그에 반대되는 근거를 들어 증명함. 또는 그런 증,1,2,3.40,반증,Y
불황,경제 활동이 일반적으로 침체되는 상태. 물가와 임금이 내리고 생산이 위축되며 실업,1,2,3.40,불황,Y
고증,"예전에 있던 사물들의 시대, 가치, 내용 따위를 옛 문헌이나 물건에 기초하여 증거를 세워",1,2,3.40,고증,Y
터전,집터가 되는 땅,1,2,3.39,터전,Y
부조,잔칫집이나 상가(喪家) 따위에 돈이나 물건을 보내어 도와줌. 또는 돈이나 물건,1,2,3.39,부조,Y
낙관,인생이나 사물을 밝고 희망적인 것으로 봄,1,2,3.39,낙관,Y
매사,하나하나의 모든 일,1,2,3.39,매사,Y
반향,어떤 사건이나 발표 따위가 세상에 영향을 미치어 일어나는 반응,1,2,3.39,반향,Y
치중,어떠한 것에 특히 중점을 둠.,1,2,3.38,치중,Y
점화,불을 붙이거나 켬,1,2,3.38,점화,Y
어조,말의 가락,1,2,3.38,어조,Y
계몽,이성의 빛을 통해 사람들의 어리석음과 편견을 깨우쳐 밝혀 줌,3,2,3.37,계몽,Y
폄하,가치를 깎아내림,1,2,3.37,폄하,Y
창건,건물이나 조직체 따위를 처음으로 세우거나 만듦,1,2,3.37,창건,Y
통념,일반적으로 널리 통하는 개념,1,2,3.37,통념,Y
순화,정성 어린 가르침으로 감화(感化)함,1,2,3.37,순화,Y
척결,나쁜 부분이나 요소들을 깨끗이 없애 버림,1,2,3.36,척결,Y
고루하다,낡은 관념이나 습관에 젖어 고집이 세고 새로운 것을 잘 받아들이지 아니하다,3,2,3.36,고루하다,Y
부지런하다,어떤 일을 꾸물거리거나 미루지 않고 꾸준하게 열심히 하다,1,2,3.36,부지런하다,Y
계량,수량을 헤아림,1,2,3.35,계량,Y
양분,둘로 가르거나 나눔,1,2,3.35,양분,Y
방기,자신의 책임이나 내면의 의무를 소홀히 하거나 내버려 두고 돌보지 않음,1,2,3.34,방기,Y
배타성,자신들의 경계 밖에 있는 타인이나 가치를 부인하고 밀어내려는 차가운 성질,3,2,3.34,배타,Y
부조리,인생이나 우주에서 이성적인 설명이 불가능한 모순되고 불합리한 상태,3,2,3.34,부조리,Y
착안,어떤 일을 해결하기 위한 실마리나 아이디어를 잡음,3,2,3.34,착안,Y
참회,자신이 과거에 지은 잘못이나 죄를 가슴 깊이 뉘우치며 돌이켜 반성함,3,2,3.34,참회,Y
포용성,나와 다른 가치나 사람을 너그럽게 품어 안아주는 부드러운 성질,3,2,3.34,포용성,Y
멸시,업신여기거나 하찮게 여겨 깔봄.,1,2,3.34,멸시,Y
투항,적에게 항복함,1,2,3.34,투항,Y
배합,이것저것을 일정한 비율로 한데 섞어 합침,1,2,3.34,배합,Y
포용,"남을 너그럽게 감싸 주거나 받아들임. ‘감쌈’, ‘덮어 줌’으로 순화",1,2,3.34,포용,Y
안착,어떤 곳에 무사하게 잘 도착함,1,2,3.34,안착,Y
흐뭇하다,마음에 흡족하여 매우 만족스럽다,1,2,3.34,흐뭇하다,Y
독단,남의 의견을 듣지 않고 혼자서만 옳다고 판단하여 결정함,3,2,3.33,독단,Y
신뢰도,믿고 의지할 수 있는 정도,1,2,3.33,신뢰도,Y
부응,어떤 요구나 기대 따위에 좇아서 응함,1,2,3.33,부응,Y
역류,물이 거슬러 흐름. 또는 그렇게 흐르는 물.,1,2,3.33,역류,Y
끈기,쉽게 단념하지 아니하고 끈질기게 견디어 나가는 기운,1,2,3.33,끈기,Y
처사,일을 처리함. 또는 그런 처리,1,2,3.32,처사,Y
계보,조상 때부터 내려오는 혈통과 집안의 역사를 적은 책,1,2,3.32,계보,Y
종용,잘 설득하고 달래어 권함,1,2,3.32,종용,Y
대등,서로 견주어 높고 낮음이나 낫고 못함이 없이 비슷함,1,2,3.32,대등,Y
집약,한데 모아서 요약함,1,2,3.31,집약,Y
숭고,뜻이 높고 깨끗하여 우러러볼 만함,3,2,3.30,숭고,Y
성행,매우 성하게 유행함,1,2,3.30,성행,Y
시의성,상황이나 시기에 딱 알맞은 유용한 성질,3,2,3.29,시의성,Y
심연,끝이 보이지 않을 만큼 깊은 곳. 헤어나기 어려운 깊은 상태를 비유하는 말,3,2,3.29,심연,Y
내막,겉으로 드러나지 아니한 일의 속 내용. ‘속사정’으로 순화,1,2,3.29,내막,Y
득실,얻음과 잃음.,1,2,3.28,득실,Y
결부,일정한 사물이나 현상을 서로 연관시킴,1,2,3.28,결부,Y
처신,세상을 살아가는 데 가져야 할 몸가짐이나 행동.,1,2,3.28,처신,Y
수양,"몸과 마음을 갈고닦아 품성이나 지식, 도덕 따위를 높은 경지로 끌어올림",1,2,3.28,수양,Y
협연,한 독주자가 다른 독주자나 악단 따위와 함께 한 악곡을 연주함. 또는 그런 연주,1,2,3.28,협연,Y
통찰,사물이나 현상의 이면을 정확하고 날카롭게 꿰뚫어 봄,3,2,3.27,통찰,Y
폐해,폐단으로 생기는 해,1,2,3.27,폐해,Y
절충,"서로 다른 사물이나 의견, 관점 따위를 알맞게 조절하여 서로 잘 어울리게 함",1,2,3.27,절충,Y
도야,훌륭한 사람이 되도록 몸과 마음을 닦아 기름,1,2,3.26,도야,Y
구명,"사물의 본질, 원인 따위를 깊이 연구하여 밝힘",1,2,3.26,구명,Y
괴리,서로 조화를 이루지 못하고 어긋나 틈이 벌어지고 동떨어짐,3,2,3.25,괴리,Y
능률,일정한 시간에 할 수 있는 일의 비율,1,2,3.25,능률,Y
함축,겉으로 드러내지 아니하고 속에 간직함,3,2,3.25,함축,Y
매몰,"어떠한 사소한 감정이나 환경, 눈앞의 이익에 완전히 빠져 헤어나오지 못함",1,2,3.24,매몰,Y
잔재,쓰고 남은 찌꺼기.,1,2,3.24,잔재,Y
도식화,복잡한 구조를 알기 쉽게 그림이나 표로 나타냄,3,2,3.23,도식,Y
향연,특별히 융숭하게 손님을 대접하는 잔치,1,2,3.23,향연,Y
난제,해결하기 어려운 일이나 사건.,1,2,3.22,난제,Y
항변,대항하여 변론함. 또는 그런 변론,1,2,3.22,항변,Y
태동,어떤 일이 생기려는 기운이 싹틈,1,2,3.21,태동,Y
위증,거짓으로 증명함. 또는 그런 증거,1,2,3.21,위증,Y
만류,붙들고 못 하게 말림.,1,2,3.21,만류,Y
연비,자동차의 단위 연료당 주행 거리의 비율,1,2,3.21,연비,Y
조소,흉을 보듯이 빈정거리거나 업신여기며 웃음. 또는 그렇게 웃는 웃음,3,2,3.21,조소,Y
포섭,상대편을 자기편으로 감싸 끌어들임,1,2,3.20,포섭,Y
용적,물건을 담을 수 있는 부피. 혹은 용기 안을 채우는 분량,1,2,3.20,용적,Y
어법,말의 일정한 법칙,1,2,3.20,어법,Y
병진,둘 이상이 함께 나란히 나아감,1,2,3.19,병진,Y
변칙,원칙에서 벗어나 달라짐. 또는 그런 법칙이나 규정,1,2,3.19,변칙,Y
관건,어떤 일의 성패를 좌우하는 가장 중요한 부분,1,2,3.18,관건,Y
변천,세월의 흐름에 따라 바뀌고 변함,1,2,3.18,변천,Y
방제,재앙을 미리 막아 없앰,1,2,3.17,방제,Y
후련하다,답답하거나 갑갑하여 언짢던 것이 풀려 마음이 시원하다,1,2,3.17,후련하다,Y
귀결,논의나 행동이 어떤 결론에 이름,3,2,3.16,귀결,Y
당위성,마땅히 그래야만 하는 성질,3,2,3.16,당위성,Y
분투,있는 힘을 다하여 싸우거나 노력함,1,2,3.16,분투,Y
독백,혼자서 중얼거림,1,2,3.16,독백,Y
원론,근본이 되는 이론. 또는 그런 이론을 기술한 책,1,2,3.16,원론,Y
소급,과거의 일에까지 효력을 미치게 함,3,2,3.15,소급,Y
덕택,베풀어 준 은혜나 도움.,1,2,3.15,덕택,Y
대별,크게 구별하여 나눔,1,2,3.15,대별,Y
급등,물가나 시세 따위가 갑자기 오름,1,2,3.15,급등,Y
편협,한쪽으로 치우쳐 도량이 좁고 너그럽지 못함,1,2,3.15,편협,Y
울분,답답하고 분함. 또는 그런 마음,3,2,3.15,울분,Y
낙후,"기술이나 문화, 생활 따위의 수준이 일정한 기준에 미치지 못하고 뒤떨어짐",1,2,3.14,낙후,Y
격변,상황 따위가 갑자기 심하게 변함.,1,2,3.14,격변,Y
미비,아직 다 갖추지 못한 상태에 있음,1,2,3.14,미비,Y
함의,말이나 글 속에 어떠한 뜻이 들어 있음. 또는 그 뜻,1,2,3.14,함의,Y
결연하다,마음가짐이나 행동에 있어 태도가 움직일 수 없을 만큼 확고하다,3,2,3.14,결연하다,Y
대자적,스스로를 객관적으로 반성하고 자각하는 주체적 존재의 상태,3,2,3.12,대자적,Y
이분법,대상을 서로 완전히 반대되는 두 부분으로 나누는 논리적 구분 방법,3,2,3.12,이분법,Y
자괴감,스스로 부끄럽게 여기는 마음,3,2,3.12,자괴감,Y
예습,앞으로 배울 것을 미리 익힘,1,2,3.12,예습,Y
발로,내면의 마음이나 감정 등이 겉으로 숨김없이 드러남,3,2,3.11,발로,Y
분간,"사물이나 사람의 옳고 그름, 좋고 나쁨 따위와 그 정체를 구별하거나 가려서 앎",1,2,3.11,분간,Y
외양,겉으로 보이는 모양,1,2,3.11,외양,Y
희롱,말이나 행동으로 실없이 놀림,1,2,3.11,희롱,Y
논증,옳고 그름을 이유를 들어 밝힘. 또는 그 근거나 이유,1,2,3.10,논증,Y
누수,물이 샘. 또는 새어 나오는 물,1,2,3.10,누수,Y
숙고,곰곰이 깊이 생각함,3,2,3.09,숙고,Y
풍조,시대에 따라 변하는 세태나 사상의 경향,1,2,3.09,풍조,Y
세사,세상에서 일어나는 온갖 일,1,2,3.08,세사,Y
부연,이해하기 쉽도록 설명을 덧붙여 자세히 말함,1,2,3.08,부연,Y
가처분,법원이 확정 판결을 내리기 전까지 임시로 내리는 처분.,1,2,3.07,가처분,Y
경외,대상의 위대함에 압도되어 두려워하면서도 우러러보는 마음,3,2,3.07,경외,Y
묵시적,말이나 글로 명확히 드러내지 않고 은연중에 인정하여 통함,3,2,3.07,묵시적,Y
아첨,남의 환심을 사거나 잘 보이려고 알랑거림. 또는 그런 말이나 짓.,1,2,3.07,아첨,Y
감회,지난 일을 돌이켜 볼 때 느껴지는 회포,3,2,3.07,감회,Y
희소성,인간의 욕망에 비해 자원이나 대상의 존재량이 극히 드물고 적음,3,2,3.06,희소,Y
호황,경기(景氣)가 좋음. 또는 그런 상황,1,2,3.06,호황,Y
무위,아무것도 하는 일이 없음. 또는 이룬 것이 없음,1,2,3.06,무위,Y
간이,"간단하고 편리함. 물건의 내용, 형식이나 시설 따위를 줄이거나 간편하게 한 것.",1,2,3.05,간이,Y
기탁,어떤 일을 부탁하여 맡겨 둠,1,2,3.04,기탁,Y
영속성,영원히 계속되어 끊어지지 않는 성질,1,2,3.03,영속,Y
해이,긴장이나 규율 따위가 풀려 마음이 느슨함. ‘풀림’으로 순화,1,2,3.03,해이,Y
흠모,기쁜 마음으로 공경하며 사모함,3,2,3.03,흠모,Y
관조,들끓는 욕망이나 주관적 감정을 걷어내고 고요한 마음으로 세상을 응시함,3,2,3.02,관조,Y
다각적,여러 방향이나 관점에 걸친 것,3,2,3.01,다각적,Y
폐단,어떤 일이나 행동에서 나타나는 옳지 못한 경향이나 해로운 현상.,1,2,3.01,폐단,Y
생동,생기 있게 살아 움직임,1,2,3.01,생동,Y
