target,뜻,기존레벨,제안레벨,변경,zipf,토큰,판정근거,검토필요
난제,해결하기 어려운 일이나 사건.,1,2,1→2,3.22,난제,zipf 3.22 — 보통,
낭비,시간이나 재물 따위를 헛되이 헤프게 씀,1,2,1→2,4.22,낭비,zipf 4.22 — 보통,
낱낱이,하나하나 빠짐없이 모두,2,3,2→3,0.00,낱낱이,빈도표에 없음 → 매우 드묾,
내막,겉으로 드러나지 아니한 일의 속 내용. ‘속사정’으로 순화,1,2,1→2,3.29,내막,zipf 3.29 — 보통,
내포,어떤 성질이나 뜻 따위를 속에 품음,1,2,1→2,3.62,내포,zipf 3.62 — 보통,
노파심,필요 이상으로 남의 일을 걱정하고 염려하는 마음,2,3,2→3,0.00,노파심,빈도표에 없음 → 매우 드묾,
논의,어떤 문제에 대하여 서로 의견을 내어 토의함. 또는 그런 토의,1,2,1→2,4.45,논의,zipf 4.45 — 보통,
논증,옳고 그름을 이유를 들어 밝힘. 또는 그 근거나 이유,1,2,1→2,3.10,논증,zipf 3.10 — 보통,
누수,물이 샘. 또는 새어 나오는 물,1,2,1→2,3.10,누수,zipf 3.10 — 보통,
능률,일정한 시간에 할 수 있는 일의 비율,1,2,1→2,3.25,능률,zipf 3.25 — 보통,
다각화,여러 방면이나 부문에 걸치도록 함,2,3,2→3,0.00,다각화,빈도표에 없음 → 매우 드묾,
다짐,마음이나 뜻을 굳게 가다듬어 정함,1,2,1→2,3.92,다짐,zipf 3.92 — 보통,
단언,주저하지 아니하고 딱 잘라 말함,1,2,1→2,3.59,단언,zipf 3.59 — 보통,
단점,잘못되고 모자라는 점,1,2,1→2,4.20,단점,zipf 4.20 — 보통,
단행,결단하여 실행함,1,2,1→2,3.75,단행,zipf 3.75 — 보통,
담론,이야기를 주고받으며 논의함,3,2,3→2,3.46,담론,zipf 3.46 — 보통,
담보,맡아서 보증함,1,2,1→2,3.83,담보,zipf 3.83 — 보통,
대담,마주 대하고 말함. 또는 그런 말,1,2,1→2,3.96,대담,zipf 3.96 — 보통,
대동,큰 세력이 합동함,1,2,1→2,3.54,대동,zipf 3.54 — 보통,
대등,서로 견주어 높고 낮음이나 낫고 못함이 없이 비슷함,1,2,1→2,3.32,대등,zipf 3.32 — 보통,
대변,어떤 사람이나 단체를 대신하여 그의 의견이나 태도를 표함. 또는 그런 일,1,2,1→2,3.97,대변,zipf 3.97 — 보통,
대별,크게 구별하여 나눔,1,2,1→2,3.15,대별,zipf 3.15 — 보통,
대상,어떤 활동이나 관찰의 상대가 되는 것,2,1,2→1,5.29,대상,zipf 5.29 — 익숙,
대역,어떤 폭으로써 정해진 범위. 최대 주파수에서 최저 주파수까지의 구역을 말,1,2,1→2,3.82,대역,zipf 3.82 — 보통,
대응,어떤 일이나 사태에 맞추어 태도나 행동을 취함,2,1,2→1,4.72,대응,zipf 4.72 — 익숙,
대항,굽히거나 지지 않으려고 맞서서 버티거나 항거함. ‘맞서 싸움’으로 순화,1,2,1→2,4.04,대항,zipf 4.04 — 보통,
덕택,베풀어 준 은혜나 도움.,1,2,1→2,3.15,덕택,zipf 3.15 — 보통,
도리,사람이 어떤 입장에서 마땅히 행하여야 할 바른길,1,2,1→2,4.20,도리,zipf 4.20 — 보통,
도모,어떤 일을 이루기 위하여 대책과 방법을 세움,1,2,1→2,4.06,도모,zipf 4.06 — 보통,
도야,훌륭한 사람이 되도록 몸과 마음을 닦아 기름,1,2,1→2,3.26,도야,zipf 3.26 — 보통,
도취,어떠한 것에 마음이 쏠려 취하다시피 됨,2,3,2→3,0.00,도취,빈도표에 없음 → 매우 드묾,
독단,남의 의견을 듣지 않고 혼자서만 옳다고 판단하여 결정함,3,2,3→2,3.33,독단,zipf 3.33 — 보통,
독백,혼자서 중얼거림,1,2,1→2,3.16,독백,zipf 3.16 — 보통,
동률,비율이나 점수가 같음,2,3,2→3,0.00,동률,빈도표에 없음 → 매우 드묾,
동원,"어떤 목적을 이루기 위해 사람, 물자, 수단 등을 한데 모음",1,2,1→2,4.41,동원,zipf 4.41 — 보통,
동정,남의 어려운 처지를 자기 일처럼 딱하고 가엾게 여김,1,2,1→2,3.97,동정,zipf 3.97 — 보통,
동참,어떤 모임이나 일에 같이 참가함,1,2,1→2,3.99,동참,zipf 3.99 — 보통,
두루,빠짐없이 골고루,1,2,1→2,3.81,두루,zipf 3.81 — 보통,
득실,얻음과 잃음.,1,2,1→2,3.28,득실,zipf 3.28 — 보통,
등가,가치나 등급이 서로 같음,2,3,2→3,0.00,등가,빈도표에 없음 → 매우 드묾,
마련,필요한 물건이나 대책을 준비하여 갖춤,2,1,2→1,4.68,마련,zipf 4.68 — 익숙,
마무리,일의 끝을 맺음,2,1,2→1,4.67,마무리,zipf 4.67 — 익숙,
만료,기한이 다 차서 끝남,1,2,1→2,3.79,만료,zipf 3.79 — 보통,
만류,붙들고 못 하게 말림.,1,2,1→2,3.21,만류,zipf 3.21 — 보통,
만세,아주 오랜 세대,1,2,1→2,4.27,만세,zipf 4.27 — 보통,
말살,있는 사물을 뭉개어 아주 없애 버림,1,2,1→2,3.44,말살,zipf 3.44 — 보통,
매몰,"어떠한 사소한 감정이나 환경, 눈앞의 이익에 완전히 빠져 헤어나오지 못함",1,2,1→2,3.24,매몰,zipf 3.24 — 보통,
매사,하나하나의 모든 일,1,2,1→2,3.39,매사,zipf 3.39 — 보통,
매입,물건 따위를 사들임.,1,2,1→2,4.18,매입,zipf 4.18 — 보통,
메커니즘,사물이나 현상이 일정한 인과 관계에 따라 작동하는 방식이나 구조,3,2,3→2,3.66,메커니즘,zipf 3.66 — 보통,
멸시,업신여기거나 하찮게 여겨 깔봄.,1,2,1→2,3.34,멸시,zipf 3.34 — 보통,
명소,"경치나 고적, 산물 따위로 널리 알려진 곳. ‘이름난 곳’으로 순화",1,2,1→2,3.93,명소,zipf 3.93 — 보통,
명제,논리학에서 참과 거짓을 판별할 수 있는 논리적 진술,3,2,3→2,3.49,명제,zipf 3.49 — 보통,
모범,본받아 배울 만한 대상,1,2,1→2,3.91,모범,zipf 3.91 — 보통,
모순,앞뒤가 맞지 않거나 이치에 어긋남,3,2,3→2,4.07,모순,zipf 4.07 — 보통,
무단,사전에 허락이 없음. 또는 아무 사유가 없음,1,2,1→2,4.15,무단,zipf 4.15 — 보통,
무반주,악기의 반주 없이 노래하거나 연주함,2,3,2→3,0.00,무반주,빈도표에 없음 → 매우 드묾,
무위,아무것도 하는 일이 없음. 또는 이룬 것이 없음,1,2,1→2,3.06,무위,zipf 3.06 — 보통,
무장,전투에 필요한 장비를 갖춤. 또는 그 장비,1,2,1→2,4.40,무장,zipf 4.40 — 보통,
무지,아는 것이 없음,1,2,1→2,4.45,무지,zipf 4.45 — 보통,
물체,구체적인 형태를 가지고 있는 것,1,2,1→2,4.11,물체,zipf 4.11 — 보통,
물화,인간의 주체적 활동이나 관계가 물질적인 객체나 상품처럼 여겨지는 현상,2,3,2→3,0.00,물화,빈도표에 없음 → 매우 드묾,
뭇사람,많은 사람. 또는 여러 사람.,2,3,2→3,0.00,뭇사람,빈도표에 없음 → 매우 드묾,
미덕,아름답고 갸륵한 덕행.,1,2,1→2,3.41,미덕,zipf 3.41 — 보통,
미련,깨끗이 잊지 못하고 끌리는 데가 남아 있는 마음,1,2,1→2,3.67,미련,zipf 3.67 — 보통,
미비,아직 다 갖추지 못한 상태에 있음,1,2,1→2,3.14,미비,zipf 3.14 — 보통,
미학,아름다움의 본질과 그것을 구현하는 예술을 탐구하는 학문이나 관점,3,2,3→2,3.68,미학,zipf 3.68 — 보통,
반감,반대하거나 반항하는 감정,1,2,1→2,3.55,반감,zipf 3.55 — 보통,
반론,"남의 논설이나 비난, 논평 따위에 대하여 반박함. 또는 그런 논설",1,2,1→2,3.75,반론,zipf 3.75 — 보통,
반박,"어떤 의견, 주장, 논설 따위에 반대하여 말함",1,2,1→2,4.17,반박,zipf 4.17 — 보통,
반영,다른 것에 영향을 받아 어떤 현상이 나타남. 또는 의견 등을 결과에 담아,1,2,1→2,4.42,반영,zipf 4.42 — 보통,
반증,어떤 사실이나 주장이 옳지 아니함을 그에 반대되는 근거를 들어 증명함. ,1,2,1→2,3.40,반증,zipf 3.40 — 보통,
반향,어떤 사건이나 발표 따위가 세상에 영향을 미치어 일어나는 반응,1,2,1→2,3.39,반향,zipf 3.39 — 보통,
발급,증명서 따위를 발행하여 줌.,1,2,1→2,3.99,발급,zipf 3.99 — 보통,
발로,내면의 마음이나 감정 등이 겉으로 숨김없이 드러남,3,2,3→2,3.11,발로,zipf 3.11 — 보통,
발산,"감정, 슬픔, 욕망 등을 겉으로 드러내거나 그것을 드러내어 풀어 없앰",3,2,3→2,3.82,발산,zipf 3.82 — 보통,
발상,어떤 생각을 해 냄. 또는 그 생각,1,2,1→2,3.75,발상,zipf 3.75 — 보통,
발생,어떤 사물이나 현상이 생겨남,2,1,2→1,5.24,발생,zipf 5.24 — 익숙,
방기,자신의 책임이나 내면의 의무를 소홀히 하거나 내버려 두고 돌보지 않음,1,2,1→2,3.34,방기,zipf 3.34 — 보통,
방식,일을 하거나 사물을 다루는 일정한 방법이나 형식,2,1,2→1,5.19,방식,zipf 5.19 — 익숙,
방제,재앙을 미리 막아 없앰,1,2,1→2,3.17,방제,zipf 3.17 — 보통,
방치,내버려 둠.,1,2,1→2,4.07,방치,zipf 4.07 — 보통,
방황,확고한 이정표를 잃고 마음의 안정을 찾지 못해 이리저리 방황하고 헤맴,1,2,1→2,3.78,방황,zipf 3.78 — 보통,
배달,물건을 가져다가 전해 줌,1,2,1→2,4.34,배달,zipf 4.34 — 보통,
배려,도와주거나 보살펴 주려고 마음을 씀,1,2,1→2,4.22,배려,zipf 4.22 — 보통,
배양,"인격, 역량, 사상 따위가 발전하도록 가르치고 키움",1,2,1→2,3.75,배양,zipf 3.75 — 보통,
배제,받아들이지 아니하고 물리쳐 제외함,1,2,1→2,4.12,배제,zipf 4.12 — 보통,
배출,안에서 밖으로 밀어 내보냄,1,2,1→2,4.35,배출,zipf 4.35 — 보통,
배합,이것저것을 일정한 비율로 한데 섞어 합침,1,2,1→2,3.34,배합,zipf 3.34 — 보통,
배후,등의 뒤,1,2,1→2,3.97,배후,zipf 3.97 — 보통,
변경,다르게 바꾸어 고침,2,1,2→1,5.14,변경,zipf 5.14 — 익숙,
변모,모양이나 모습이 달라지거나 바뀜. 또는 그 모양이나 모습,1,2,1→2,3.52,변모,zipf 3.52 — 보통,
변수,어떤 상황의 가변적 요인,1,2,1→2,4.29,변수,zipf 4.29 — 보통,
변천,세월의 흐름에 따라 바뀌고 변함,1,2,1→2,3.18,변천,zipf 3.18 — 보통,
변칙,원칙에서 벗어나 달라짐. 또는 그런 법칙이나 규정,1,2,1→2,3.19,변칙,zipf 3.19 — 보통,
변혁,사회의 낡은 질서나 상태를 근본적으로 바꾸어 새롭게 함,3,2,3→2,3.49,변혁,zipf 3.49 — 보통,
변환,달라져서 바뀜. 또는 다르게 하여 바꿈,1,2,1→2,4.28,변환,zipf 4.28 — 보통,
별도,원래의 것에 덧붙여서 추가한 것,1,2,1→2,4.47,별도,zipf 4.47 — 보통,
병렬,나란히 늘어섬. 또는 나란히 늘어놓음,1,2,1→2,3.42,병렬,zipf 3.42 — 보통,
병진,둘 이상이 함께 나란히 나아감,1,2,1→2,3.19,병진,zipf 3.19 — 보통,
병행,둘 이상의 일을 한꺼번에 진행함,3,2,3→2,3.91,병행,zipf 3.91 — 보통,
보강재,약한 부분을 튼튼하게 하기 위해 덧대는 재료,2,3,2→3,0.00,보강재,빈도표에 없음 → 매우 드묾,
보급,널리 펴서 많은 사람들에게 골고루 미치게 하여 누리게 함,1,2,1→2,4.40,보급,zipf 4.40 — 보통,
보람,어떤 일을 한 뒤에 돌아오는 좋은 결과나 만족감,1,2,1→2,3.84,보람,zipf 3.84 — 보통,
보수성,새로운 변화를 꺼리고 기존의 가치나 질서를 그대로 유지하려는 성향,2,3,2→3,0.00,보수성,빈도표에 없음 → 매우 드묾,
보완,모자라거나 부족한 것을 보충하여 완전하게 함,1,2,1→2,3.96,보완,zipf 3.96 — 보통,
보유,자기 것으로 가지고 있음,2,1,2→1,4.68,보유,zipf 4.68 — 익숙,
보전,온전하게 보호하여 유지함,1,2,1→2,4.10,보전,zipf 4.10 — 보통,
보충,부족한 것을 보태어 채움,1,2,1→2,4.08,보충,zipf 4.08 — 보통,
복사,물체로부터 열이나 전자기파가 사방으로 방출됨. 또는 그 열이나 전자기파.,1,2,1→2,4.32,복사,zipf 4.32 — 보통,
복습,배운 것을 다시 익힘,1,2,1→2,3.50,복습,zipf 3.50 — 보통,
본질,사물이 그 자체가 되게 하는 가장 근본적이고 변하지 않는 성질,1,2,1→2,4.28,본질,zipf 4.28 — 보통,
봉사,국가나 사회 또는 남을 위하여 애써 일함,1,2,1→2,4.39,봉사,zipf 4.39 — 보통,
부각,어떤 사물을 특징지어 두드러지게 함,1,2,1→2,3.77,부각,zipf 3.77 — 보통,
부과,세금이나 부담금 따위를 매기어 부담하게 함,1,2,1→2,3.98,부과,zipf 3.98 — 보통,
부류,동일한 범주에 속하는 대상들을 일정한 기준에 따라 나누어 놓은 갈래,3,2,3→2,3.83,부류,zipf 3.83 — 보통,
부양,생활 능력이 없는 사람의 생활을 돌봄,1,2,1→2,3.64,부양,zipf 3.64 — 보통,
부연,이해하기 쉽도록 설명을 덧붙여 자세히 말함,1,2,1→2,3.08,부연,zipf 3.08 — 보통,
부응,어떤 요구나 기대 따위에 좇아서 응함,1,2,1→2,3.33,부응,zipf 3.33 — 보통,
부조,잔칫집이나 상가(喪家) 따위에 돈이나 물건을 보내어 도와줌. 또는 돈이나,1,2,1→2,3.39,부조,zipf 3.39 — 보통,
부조리,인생이나 우주에서 이성적인 설명이 불가능한 모순되고 불합리한 상태,3,2,3→2,3.34,부조리,zipf 3.34 — 보통,
부처,정부 조직의 부와 처를 아울러 이르는 말,1,2,1→2,4.24,부처,zipf 4.24 — 보통,
분간,"사물이나 사람의 옳고 그름, 좋고 나쁨 따위와 그 정체를 구별하거나 가려",1,2,1→2,3.11,분간,zipf 3.11 — 보통,
분별,서로 다른 일이나 사물을 구별하여 가름,1,2,1→2,3.75,분별,zipf 3.75 — 보통,
분산,갈라져 흩어짐. 또는 그렇게 되게 함,1,2,1→2,4.16,분산,zipf 4.16 — 보통,
분야,여러 갈래로 나누어진 범위나 부분,2,1,2→1,4.92,분야,zipf 4.92 — 익숙,
분쟁,말썽을 일으키어 시끄럽고 복잡하게 다툼,1,2,1→2,4.43,분쟁,zipf 4.43 — 보통,
분투,있는 힘을 다하여 싸우거나 노력함,1,2,1→2,3.16,분투,zipf 3.16 — 보통,
분포,일정한 범위에 흩어져 퍼져 있음,1,2,1→2,4.10,분포,zipf 4.10 — 보통,
분할,나누어 쪼갬,1,2,1→2,4.14,분할,zipf 4.14 — 보통,
불과,어떤 수량이나 정도가 그 수준에 지나지 아니함,2,1,2→1,4.58,불과,zipf 4.58 — 익숙,
불황,경제 활동이 일반적으로 침체되는 상태. 물가와 임금이 내리고 생산이 위축,1,2,1→2,3.40,불황,zipf 3.40 — 보통,
비극,인생의 슬프고 애달픈 일을 당하여 불행한 경우를 이르는 말,1,2,1→2,4.26,비극,zipf 4.26 — 보통,
비상,뜻밖의 긴급한 사태. 또는 이에 대응하기 위하여 신속히 내려지는 명령,1,2,1→2,4.44,비상,zipf 4.44 — 보통,
비약,논리나 사고 등이 단계를 밟지 않고 건너뜀,1,2,1→2,3.43,비약,zipf 3.43 — 보통,
비율,두 수 또는 두 양의 크기를 비교하여 나타낸 값,2,1,2→1,4.57,비율,zipf 4.57 — 익숙,
비치,마련하여 갖추어 둠,1,2,1→2,4.33,비치,zipf 4.33 — 보통,
비평,"사물의 옳고 그름, 아름다움과 추함 따위를 분석하여 가치를 논함",1,2,1→2,3.84,비평,zipf 3.84 — 보통,
비확산,핵무기 따위가 널리 퍼지지 아니하게 함,2,3,2→3,0.00,비확산,빈도표에 없음 → 매우 드묾,
사례,어떤 일이 전에 실제로 일어난 예,2,1,2→1,4.63,사례,zipf 4.63 — 익숙,
사리,일의 이치,1,2,1→2,3.89,사리,zipf 3.89 — 보통,
사유,"개념, 구성, 판단 등을 통해 대상을 논리적으로 깊이 헤아리는 정신 활동",3,2,3→2,4.45,사유,zipf 4.45 — 보통,
사후,일이 끝난 뒤. 또는 일을 끝낸 뒤.,1,2,1→2,4.18,사후,zipf 4.18 — 보통,
산물,일정한 곳에서 생산되어 나오는 물건.,1,2,1→2,3.71,산물,zipf 3.71 — 보통,
산책,휴식이나 건강을 위하여 천천히 걷는 일,1,2,1→2,4.39,산책,zipf 4.39 — 보통,
상기,지난 일을 돌이켜 생각하여 냄,1,2,1→2,4.14,상기,zipf 4.14 — 보통,
상설,(주로 일부 명사 앞에 쓰여) 언제든지 이용할 수 있도록 설비와 시설을 ,1,2,1→2,3.57,상설,zipf 3.57 — 보통,
상실,가지고 있거나 누리던 소중한 것의 맥이 끊기거나 잃어버림,1,2,1→2,4.34,상실,zipf 4.34 — 보통,
상응,서로 응하거나 어울림,1,2,1→2,3.78,상응,zipf 3.78 — 보통,
상정,어떤 상황이나 조건을 임시로 머릿속에 가정하여 생각함,3,2,3→2,3.77,상정,zipf 3.77 — 보통,
생동,생기 있게 살아 움직임,1,2,1→2,3.01,생동,zipf 3.01 — 보통,
생략,전체에서 일부를 줄이거나 뺌.,1,2,1→2,4.07,생략,zipf 4.07 — 보통,
서문,책이나 논문 따위의 첫머리에 내용이나 목적 따위를 간략하게 적은 글.,1,2,1→2,3.53,서문,zipf 3.53 — 보통,
서사,개인의 역사나 사건들의 유기적인 연결을 지닌 깊이 있는 이야기,3,2,3→2,3.96,서사,zipf 3.96 — 보통,
선고,법정에서 재판장이 판결을 알림,1,2,1→2,4.45,선고,zipf 4.45 — 보통,
선동,남을 부추겨 어떤 일이나 행동에 나서도록 함,1,2,1→2,3.96,선동,zipf 3.96 — 보통,
선점,남보다 앞서서 차지함,1,2,1→2,3.69,선점,zipf 3.69 — 보통,
선정,여럿 가운데서 어떤 것을 뽑아 정함,2,1,2→1,4.98,선정,zipf 4.98 — 익숙,
선포,세상에 널리 알림,1,2,1→2,4.10,선포,zipf 4.10 — 보통,
선호,여럿 가운데서 특별히 가려서 좋아함,1,2,1→2,4.27,선호,zipf 4.27 — 보통,
설욕,지난번의 패배를 씻고 승리함,2,3,2→3,0.00,설욕,빈도표에 없음 → 매우 드묾,
설정,새로 만들어 정해 둠,2,1,2→1,4.96,설정,zipf 4.96 — 익숙,
섭취,좋은 요소를 받아들임,1,2,1→2,4.07,섭취,zipf 4.07 — 보통,
성과,이루어 낸 결실. ‘보람’으로 순화,1,2,1→2,4.48,성과,zipf 4.48 — 보통,
성립,일이나 관계 따위가 제대로 이루어짐. ‘이루어짐’으로 순화,1,2,1→2,4.15,성립,zipf 4.15 — 보통,
성장세,성장하는 기세나 경향,2,3,2→3,0.00,성장세,빈도표에 없음 → 매우 드묾,
성질,사물이나 현상이 본래 가지고 있는 고유한 특성,1,2,1→2,4.20,성질,zipf 4.20 — 보통,
성취,목적한 바를 이룸,1,2,1→2,4.00,성취,zipf 4.00 — 보통,
성행,매우 성하게 유행함,1,2,1→2,3.30,성행,zipf 3.30 — 보통,
세력,권세나 힘의 기세,2,1,2→1,4.67,세력,zipf 4.67 — 익숙,
세사,세상에서 일어나는 온갖 일,1,2,1→2,3.08,세사,zipf 3.08 — 보통,
소감,마음에 느낀 바,1,2,1→2,4.16,소감,zipf 4.16 — 보통,
소급,과거의 일에까지 효력을 미치게 함,3,2,3→2,3.15,소급,zipf 3.15 — 보통,
소멸,사라져 없어짐.,1,2,1→2,4.06,소멸,zipf 4.06 — 보통,
소명,스스로를 바쳐 실현해야 한다고 느끼는 인생의 숭고한 사명이나 역할,3,2,3→2,3.50,소명,zipf 3.50 — 보통,
소문,사람들 입에 오르내려 전하여 들리는 말,1,2,1→2,4.43,소문,zipf 4.43 — 보통,
소송,법원에 재판을 청구하여 권리나 의무를 다투는 절차,2,1,2→1,4.56,소송,zipf 4.56 — 익숙,
소외,인간이 자신이 창조한 물질이나 사회 체제에 지배당하여 인간성을 상실하고 ,3,2,3→2,3.72,소외,zipf 3.72 — 보통,
소외감,남에게 따돌림을 당하여 멀어진 듯한 느낌,2,3,2→3,0.00,소외감,빈도표에 없음 → 매우 드묾,
소원,어떤 일이 이루어지기를 바람,1,2,1→2,4.35,소원,zipf 4.35 — 보통,
속성,사물의 특징이나 성질,1,2,1→2,4.16,속성,zipf 4.16 — 보통,
쇠퇴,기세나 상태가 쇠하여 전보다 못하여 감,1,2,1→2,3.48,쇠퇴,zipf 3.48 — 보통,
수동성,스스로 결정하여 결단하지 못하고 남의 힘과 상황에 이끌려 행동하는 성질,2,3,2→3,0.00,수동성,빈도표에 없음 → 매우 드묾,
수립,"국가나 정부, 제도, 계획 따위를 이룩하여 세움",1,2,1→2,4.46,수립,zipf 4.46 — 보통,
수상,상을 받음,2,1,2→1,4.96,수상,zipf 4.96 — 익숙,
수습,학업이나 실무 따위를 배워 익힘. 또는 그런 일,1,2,1→2,4.02,수습,zipf 4.02 — 보통,
수식,겉모양을 꾸밈,1,2,1→2,3.54,수식,zipf 3.54 — 보통,
수심,매우 근심함. 또는 그런 마음,3,2,3→2,3.72,수심,zipf 3.72 — 보통,
수양,"몸과 마음을 갈고닦아 품성이나 지식, 도덕 따위를 높은 경지로 끌어올림",1,2,1→2,3.28,수양,zipf 3.28 — 보통,
수요,어떤 재화나 서비스를 일정한 가격에 사고자 하는 욕구,2,1,2→1,4.55,수요,zipf 4.55 — 익숙,
수요량,필요로 하는 물건의 양,2,3,2→3,0.00,수요량,빈도표에 없음 → 매우 드묾,
수준,사물의 가치나 등급 따위의 정도,2,1,2→1,4.93,수준,zipf 4.93 — 익숙,
숙고,곰곰이 깊이 생각함,3,2,3→2,3.09,숙고,zipf 3.09 — 보통,
순응,"환경이나 변화에 적응하여 익숙하여지거나 체계, 명령 따위에 적응하여 따름",1,2,1→2,3.48,순응,zipf 3.48 — 보통,
순화,정성 어린 가르침으로 감화(感化)함,1,2,1→2,3.37,순화,zipf 3.37 — 보통,
숭고,뜻이 높고 깨끗하여 우러러볼 만함,3,2,3→2,3.30,숭고,zipf 3.30 — 보통,
습관,오랫동안 되풀이하여 저절로 몸에 익은 행동,1,2,1→2,4.21,습관,zipf 4.21 — 보통,
습기,물기가 많아 젖은 듯한 기운,1,2,1→2,3.54,습기,zipf 3.54 — 보통,
승화,억눌린 충동이나 슬픔 등의 부정적 감정을 예술이나 학문 등 가치 있는 활,3,2,3→2,3.48,승화,zipf 3.48 — 보통,
시기,남이 잘되는 것을 샘하여 미워함,2,1,2→1,4.97,시기,zipf 4.97 — 익숙,
시사점,어떤 것에 대해 미리 알아차릴 수 있도록 간접적으로 나타내거나 일러 주는,2,3,2→3,0.00,시사점,빈도표에 없음 → 매우 드묾,
시상,시를 짓기 위한 착상이나 구상,1,2,1→2,3.97,시상,zipf 3.97 — 보통,
시정,잘못된 것을 바로잡음,1,2,1→2,4.11,시정,zipf 4.11 — 보통,
식별,분별하여 알아봄,1,2,1→2,3.99,식별,zipf 3.99 — 보통,
신뢰도,믿고 의지할 수 있는 정도,1,2,1→2,3.33,신뢰도,zipf 3.33 — 보통,
신명,흥겨운 신이나 멋,1,2,1→2,3.56,신명,zipf 3.56 — 보통,
신성,속세의 비속함에서 벗어나 함부로 침범할 수 없이 숭고하고 거룩한 가치,3,2,3→2,4.26,신성,zipf 4.26 — 보통,
신장,세력이나 권리 따위가 늘어남. 또는 늘어나게 함,1,2,1→2,4.46,신장,zipf 4.46 — 보통,
신탁,믿고 맡김,1,2,1→2,3.91,신탁,zipf 3.91 — 보통,
실존,구체적이고 현실적으로 존재하는 인간 주체의 주체적인 존재 방식,3,2,3→2,3.76,실존,zipf 3.76 — 보통,
실천,생각한 것을 실제 행동으로 옮김,1,2,1→2,4.34,실천,zipf 4.34 — 보통,
실태,있는 그대로의 상태. 또는 실제의 모양,1,2,1→2,3.82,실태,zipf 3.82 — 보통,
실현,"꿈, 기대 따위를 실제로 이룸. ‘실제 이루어짐’으로 순화",1,2,1→2,4.33,실현,zipf 4.33 — 보통,
실효성,실제로 목적한 효과를 나타내는 성질,2,3,2→3,0.00,실효성,빈도표에 없음 → 매우 드묾,
심연,끝이 보이지 않을 만큼 깊은 곳. 헤어나기 어려운 깊은 상태를 비유하는 ,3,2,3→2,3.29,심연,zipf 3.29 — 보통,
아첨,남의 환심을 사거나 잘 보이려고 알랑거림. 또는 그런 말이나 짓.,1,2,1→2,3.07,아첨,zipf 3.07 — 보통,
안도,어떤 일이 잘 진행되어 마음을 놓음,1,2,1→2,3.61,안도,zipf 3.61 — 보통,
안심,걱정이 없어져 마음을 놓음,1,2,1→2,4.44,안심,zipf 4.44 — 보통,
안착,어떤 곳에 무사하게 잘 도착함,1,2,1→2,3.34,안착,zipf 3.34 — 보통,
압도,뛰어난 힘이나 기세로 남을 눌러 꼼짝 못 하게 함,1,2,1→2,4.21,압도,zipf 4.21 — 보통,
압력,누르는 힘,1,2,1→2,4.43,압력,zipf 4.43 — 보통,
애착,몹시 사랑하거나 끌리어서 떨어지지 아니함. 또는 그런 마음,1,2,1→2,3.64,애착,zipf 3.64 — 보통,
약정,어떤 일을 약속하여 정함,1,2,1→2,3.51,약정,zipf 3.51 — 보통,
약화,세력이나 힘이 약해짐. 또는 그렇게 되게 함,1,2,1→2,3.88,약화,zipf 3.88 — 보통,
양보,자리나 물건 따위를 사양하여 남에게 내어 줌,1,2,1→2,4.01,양보,zipf 4.01 — 보통,
양분,둘로 가르거나 나눔,1,2,1→2,3.35,양분,zipf 3.35 — 보통,
양심,도덕적인 옳고 그름을 스스로 판단하여 마땅히 선을 행하고 악을 멀리하려는,1,2,1→2,4.25,양심,zipf 4.25 — 보통,
어법,말의 일정한 법칙,1,2,1→2,3.20,어법,zipf 3.20 — 보통,
어조,말의 가락,1,2,1→2,3.38,어조,zipf 3.38 — 보통,
업적,어떤 사업이나 연구 따위에서 세운 공적,1,2,1→2,4.05,업적,zipf 4.05 — 보통,
여건,주어진 조건,1,2,1→2,3.68,여건,zipf 3.68 — 보통,
여론,사회 대중의 공통된 의견,1,2,1→2,4.40,여론,zipf 4.40 — 보통,
역경,일이 순조롭지 않아 매우 어렵게 된 처지나 환경,1,2,1→2,3.47,역경,zipf 3.47 — 보통,
역류,물이 거슬러 흐름. 또는 그렇게 흐르는 물.,1,2,1→2,3.33,역류,zipf 3.33 — 보통,
역설,어떤 주의나 주장에 반대되는 이론이나 말,3,2,3→2,3.91,역설,zipf 3.91 — 보통,
역차별,어떤 집단을 우대하는 정책 때문에 오히려 다른 집단이 차별을 받게 되는 ,2,3,2→3,0.00,역차별,빈도표에 없음 → 매우 드묾,
연계,어떤 일이나 사람과 관련하여 관계를 맺음. 또는 그 관계.,1,2,1→2,4.15,연계,zipf 4.15 — 보통,
연구,어떤 일이나 사물에 대하여 깊이 있게 조사하고 생각하여 진리를 따져 보는,2,1,2→1,5.43,연구,zipf 5.43 — 익숙,
연마,"주로 돌이나 쇠붙이, 보석, 유리 따위의 고체를 갈고 닦아서 표면을 반질",1,2,1→2,3.54,연마,zipf 3.54 — 보통,
연비,자동차의 단위 연료당 주행 거리의 비율,1,2,1→2,3.21,연비,zipf 3.21 — 보통,
연산,일정한 규칙에 따라 식을 계산함,1,2,1→2,3.97,연산,zipf 3.97 — 보통,
연소,"물질이 산소와 화합할 때에, 많은 빛과 열을 내는 현상. 넓은 뜻으로는 ",1,2,1→2,3.88,연소,zipf 3.88 — 보통,
