"target","level","meaning","sentence","제안태그"
"호혜성","2","서로 특별한 혜택이나 호의를 주고받는 성질","일방적인 희생이나 강요가 아닌, 서로의 가치와 존재를 동등하게 존중하고 북돋아 주는 ____의 관계야말로 진정한 연대의 출발점이다.","사회_기본,격식_비즈니스"
"객관화","3","주관에서 벗어나 있는 그대로의 모습을 드러냄","들끓는 감정에서 한 발짝 물러나 스스로를 ____해보는 것만으로도 마음의 폭풍은 잦아들기 시작한다.","학술_논리,감정_심리"
"객체화","3","주체적인 존재를 스스로 생각하고 움직이지 못하는 하나의 대상으로 취급함","상대방을 나와 동등한 인격체로 마주하지 않고, 나의 욕망을 투사하기 위한 도구로 ____하는 태도는 진정한 관계를 파괴한다.","학술_논리"
"거시적","3","작은 부분에 얽매이지 않고 전체를 넓게 보는 것","눈앞의 작은 성취보다 삶을 ____인 안목으로 바라볼 때, 우리는 비로소 긴 여정의 의미를 깨닫는다.","학술_논리"
"겸양","3","남을 존중하고 자기를 낮추어 사양하는 성품","스스로가 모든 것을 알지 못한다는 사실을 인정하는 ____이야말로 진정한 앎에 도달하는 유일한 열쇠다.","감정_심리,사회_기본"
"경외","3","대상의 위대함에 압도되어 두려워하면서도 우러러보는 마음","광활하게 펼쳐진 우주의 심연과 침묵을 가만히 응시하노라면, 유한한 인간으로서 우주적 생명에 대한 깊은 ____를 품게 된다.","감정_심리"
"계몽","3","이성의 빛을 통해 사람들의 어리석음과 편견을 깨우쳐 밝혀 줌","외부의 권위가 주입하는 일방적인 ____보다는, 스스로 생각하고 반성하는 주체적인 성찰이 영혼을 참되게 깨운다.","학술_논리,사회_기본"
"고취","3","힘이나 의지, 감정 등을 돋우고 부추겨 일으킴","타인에게서 실패를 딛고 일어설 용기를 ____하는 단 한 마디의 격려는 그 어떤 거창한 조언보다 위대하다.","감정_심리"
"공리성","3","실제적으로 유용하거나 큰 이익을 가져다주는 성질","예술은 눈에 보이는 즉각적인 ____을 지니지 않았기에 오히려 영혼을 가장 순수하게 구원하는 도구가 된다.","학술_논리"
"공명","3","남의 사상이나 감정에 깊이 동감하여 마음에 울림을 일으킴","어두운 방에서 혼자 적어 내린 은밀한 참회의 고백이 세대를 건너뛰어 타인의 마음에 깊은 ____을 일으킨다.","감정_심리"
"괴리","3","서로 조화를 이루지 못하고 어긋나 틈이 벌어지고 동떨어짐","이상으로 꿈꾸는 숭고한 자아의 모습과 매일 구차한 현실을 살아가는 나의 모습 사이의 ____ 탓에 우리는 스스로를 자책하게 된다.","학술_논리,감정_심리"
"구체화","3","막연한 것이 실제적인 형태를 갖게 됨","머릿속을 부유하던 영감이 한 편의 글로 ____될 때, 창작의 고통은 비할 데 없는 환희로 바뀐다.","학술_논리"
"귀결","3","논의나 행동이 어떤 결론에 이름","수많은 방황과 시행착오의 끝은 결국 '나다움'을 찾는 여정으로 ____되기 마련이다.","학술_논리"
"귀납적","3","구체적인 사례들로부터 일반적인 원리를 이끌어냄","일상의 작은 조각들을 모아 삶의 의미를 깨닫는 ____인 성찰은 우리를 겸손하게 만든다.","학술_논리"
"근대성","3","이성과 과학적 합리성을 특징으로 하는 근대 사회의 본질적 특성","도구적 이성과 효율성에만 눈이 멀어 인간의 존엄을 잊어버리는 것은 ____이 낳은 가장 차가운 그늘이다.","학술_논리,사회_기본"
"금욕주의","3","도덕적/종교적 완성을 위해 육체적 욕망을 엄격하게 제한하려는 태도","들끓는 소유욕과 쾌락의 번잡함을 떨쳐내고 내면의 성소로 침잠하려는 조용한 ____가 필요한 시대다.","학술_논리"
"기만","3","진실을 교묘히 왜곡하여 타인이나 자기 자신을 속이고 홀림","현실의 불안을 애써 모른 척 덮어두는 자기 ____은 달콤한 안식을 주지만, 결국 마음의 뼈대를 모래성으로 만들 뿐이다.","감정_심리,사회_기본"
"기조","3","바탕에 흐르는 기본적인 방향이나 성격","작품 전체를 관통하는 서늘한 ____ 속에서도 인간을 향한 따뜻한 시선은 은은하게 빛나고 있었다.","격식_비즈니스"
"다각적","3","여러 방향이나 관점에 걸친 것","하나의 현상을 ____으로 바라보는 유연함이야말로 세상을 더 넓게 이해하는 지혜의 시작이다.","학술_논리"
"다변화","3","모양이나 방법이 많아지거나 다양해짐","관계의 형태가 ____되는 현대 사회에서 우리는 새로운 방식의 유대감을 학습하며 살아간다.","격식_비즈니스"
"단독성","3","다른 어떤 것과도 대체될 수 없는 고유하고 절대적인 개별적 성질","우리는 보편적인 사회적 계급이나 통계 속의 숫자가 아니라, 저마다 단 하나뿐인 삶의 역사와 서사를 지닌 ____의 존재들이다.","학술_논리"
"당위성","3","마땅히 그래야만 하는 성질","사회가 요구하는 ____에 짓눌려 살기보다, 내면의 목소리가 이끄는 진실함을 따르기로 했다.","학술_논리"
"당착","3","앞뒤가 맞지 않고 모순되어 서로 충돌함","상대를 깊이 사랑한다고 말하면서 그의 모든 자주권을 억압하려 드는 태도는 명백한 자기 ____이다.","학술_논리"
"대자적","3","스스로를 객관적으로 반성하고 자각하는 주체적 존재의 상태","남들이 정해준 궤도를 맹목적으로 달리는 즉자적 삶을 멈추고 늘 스스로를 고찰하는 ____ 존재로 우뚝 서라.","학술_논리"
"대칭성","3","사물의 각 부분이 균형을 이루며 서로 마주 보고 조화를 이루는 성질","우리의 내면과 외부 삶의 ____이 완벽하게 들어맞을 때 불안의 흔들림은 비로소 멎고 평화가 찾아온다.","학술_논리"
"도구화","3","인간이나 가치 있는 대상을 그 자체의 목적이 아닌 단지 수단이나 도구로 취급함","효율성만을 극대화하려는 자본의 논리는 결국 인간마저 소모품처럼 ____하는 비인간적인 결과를 낳기 쉽다.","학술_논리,사회_기본"
"도덕률","3","양심과 이성에 기초하여 마땅히 지켜야 할 숭고한 행위 규범","마음속 깊은 어둠 속에서도 스스로 약속한 단단한 ____을 배신하지 않는 한 인간은 타락하지 않는다.","학술_논리"
"도식화","3","복잡한 구조를 알기 쉽게 그림이나 표로 나타냄","세상의 복잡한 이치를 너무 쉽게 ____하다 보면, 그 속에 담긴 소중한 디테일들을 놓치기 쉽다.","학술_논리"
"독단","3","남의 의견을 듣지 않고 혼자서만 옳다고 판단하여 결정함","나의 확신만이 유일한 정답이라고 굳게 믿는 ____은 지성을 캄캄한 독방에 가두는 자비 없는 어둠이다.","감정_심리,학술_논리"
"매개자","3","서로 다른 존재들을 조화롭게 연결하고 관계 맺어 주는 존재","오래된 오해로 단절된 두 마음에 다리를 놓아주는 부드러운 ____의 역할은 세상에서 가장 거룩하다.","학술_논리,사회_기본"
"메커니즘","3","사물이나 현상이 일정한 인과 관계에 따라 작동하는 방식이나 구조","상처로부터 스스로를 방어하려는 우리 내면의 심리적 ____은 때로 눈먼 거부와 독단으로 발현되기도 한다.","학술_논리"
"명징성","3","흐리거나 어둡지 않고 지극히 깨끗하고 명백한 성질","들끓는 집착과 욕망의 거품을 걷어낼 때 비로소 찾아오는 깨달음의 ____은 영혼을 맑게 씻어내린다.","학술_논리"
"무상성","3","세상의 모든 존재나 상황이 영원하지 않고 끊임없이 변화하여 덧없음","화려하게 피었다가 속수무책으로 떨어지는 벚꽃의 ____은, 오늘 우리에게 허락된 만남의 순간을 더욱 거룩하게 만든다.","학술_논리,감정_심리"
"물신화","3","인간이 만든 사물이나 화폐에 신비하고 초자연적인 힘을 부여하여 숭배함","지갑 속의 화폐와 명품 백을 인격과 동일시하는 ____의 늪에서 허우적댈 때, 인간의 진짜 존엄은 소리 없이 바스러진다.","학술_논리,사회_기본"
"미시적","3","어떤 사물이나 현상을 개별이나 부분으로 작게 나누어 생각하는 것","타인의 삶을 진정으로 이해하려면 거대한 시대적 배경뿐만 아니라, 그가 매일 마주하는 일상의 ____인 결들까지 들여다보아야 한다.","학술_논리"
"발로","3","내면의 마음이나 감정 등이 겉으로 숨김없이 드러남","그가 건넨 작은 위로와 미소는 억지로 꾸며낸 인위가 아니라 내면에 가득 찬 사랑의 자연스러운 ____였다.","감정_심리"
"발산","3","감정, 슬픔, 욕망 등을 겉으로 드러내거나 그것을 드러내어 풀어 없앰","억눌린 슬픔과 분노를 건강한 방식으로 ____하는 방법을 배우는 것은 성숙한 어른이 되기 위한 중요한 통과의례다.","감정_심리"
"방어기제","3","용납하기 어려운 고통이나 불안으로부터 스스로를 보호하려는 무의식적 기제","타인을 향해 세우는 서늘하고 날 선 가시들은 결국 더는 상처받기 싫어 울부짖는 자아의 비참한 ____다.","감정_심리"
"방증","3","어떤 사실에 대한 간접적이고 주변적인 증거","우리가 무심코 내뱉는 사소한 언어 습관들은 현재 내면의 상태가 얼마나 불안한지를 보여주는 투명한 ____이 된다.","학술_논리"
"배타성","3","자신들의 경계 밖에 있는 타인이나 가치를 부인하고 밀어내려는 차가운 성질","신념이 자기 확신을 넘어 타자를 거부하는 드높은 ____의 장벽이 될 때, 지성은 독단이라는 캄캄한 지하 감옥에 갇힌다.","사회_기본,감정_심리"
"배타주의","3","자기 집단이나 신념 밖에 있는 것들을 밀어내고 거부하려는 옹졸한 태도","나와 다른 가치를 단칼에 죄인으로 모는 차가운 ____는 문명과 평화의 영토를 황폐한 무덤으로 만든다.","사회_기본"
"변동성","3","바뀌어 달라지는 성질","삶의 예측 불가능한 ____을 두려워하기보다, 그 파도를 유연하게 타는 법을 배울 때 우리는 비로소 자유로워진다.","격식_비즈니스,학술_논리"
"병행","3","둘 이상의 일을 한꺼번에 진행함","현실과 타협하는 일과 이상을 좇는 일을 ____하는 것은 끊임없이 흔들리며 중심을 잡는 줄타기와 같다.","격식_비즈니스"
"부침","3","세력이 성하고 쇠함 또는 사물이 오르고 내림을 거듭함","세월의 가차 없는 ____ 속에서도 나다운 중심축을 잃지 않는 단단한 마음이야말로 가장 찬란하게 빛난다.","격식_비즈니스,학술_논리"
"비가역성","3","한 번 변화한 상태가 다시 원래의 상태로 되돌아갈 수 없는 성질","지나온 시간의 가차 없는 ____은 오늘 우리에게 허락된 사랑과 성찰의 기회를 더욱 거룩하게 만든다.","학술_논리"
"비자발적","3","자기 스스로의 뜻이 아니라 외부의 압력이나 상황에 밀려 억지로 하는 것","타인의 시선에 쫓겨 감행하는 ____인 순응은 가슴속에 시퍼런 멍으로 가득 찬 위선만을 남기기 마련이다.","감정_심리,학술_논리"
"사장","3","가치 있는 물건, 인재, 아이디어 등이 세상에 빛을 보지 못하고 파묻힘","가슴속에 품었던 수많은 찬란한 영감들이, 현실의 가혹한 벽에 부딪혀 한 줄의 글도 되지 못한 채 ____되는 것은 삶의 큰 슬픔이다.","격식_비즈니스,사회_기본"
"상사성","3","서로 다른 존재들이 형태나 성질 면에서 미묘하게 서로 닮아 통하는 성질","서로 마주 앉아 가만히 눈빛을 나눌 때 발견하는 두 영혼의 기묘한 ____은 마음에 다정한 촛불을 켠다.","학술_논리"
"상정","3","어떤 상황이나 조건을 임시로 머릿속에 가정하여 생각함","가장 최악의 파국을 미리 ____해 봄으로써, 우리는 역설적으로 지금 마주하고 있는 평범한 일상의 축복을 절감하게 된다.","학술_논리"
"상호주관성","3","개별적인 주관들이 소통을 통해 서로 공유하고 공감하는 공통의 주관적 영역","우리가 합의하는 객관적 진리란 어쩌면 절대적인 외적 실체가 아니라, 저마다의 주관들이 대화와 이해를 통해 길어낸 깊은 ____의 합의일지 모른다.","학술_논리"
"서사","3","개인의 역사나 사건들의 유기적인 연결을 지닌 깊이 있는 이야기","우리는 단순히 통계 수치 속의 부품이 아니라 저마다 눈물과 기적으로 빚어낸 단 하나의 위대한 ____다.","문화_예술,학술_논리"
"소급","3","과거의 일에까지 효력을 미치게 함","지나온 세월의 후회는 과거로 ____하여 바꿀 수 없지만, 오늘 내리는 성숙한 선택으로 그 상처의 의미를 새로 정의할 수는 있다.","법률,격식_비즈니스"
"소외","3","인간이 자신이 창조한 물질이나 사회 체제에 지배당하여 인간성을 상실하고 고립되는 현상","거대하고 정교한 현대 사회 시스템 속에서 개인이 하나의 부품으로 전락할 때, 우리는 자기 자신으로부터마저 ____되는 비극을 경험한다.","사회_기본,감정_심리"
"수용성","3","어떤 물질이 물에 녹는 성질","우리의 깊은 우울과 슬픔도 흐르는 눈물에 쉽게 씻겨 내려가는 ____의 감정이었다면 지난밤이 덜 괴로웠을까.","학술_논리"
"숙고","3","곰곰이 깊이 생각함","충동적인 감정에 매몰되어 칼을 뽑기보다 고요히 사태의 본질을 ____하는 인내가 진짜 강한 지성이다.","학술_논리,감정_심리"
"숭고","3","뜻이 높고 깨끗하여 우러러볼 만함","아무리 보답도 기대하지 않은 채 타인의 생명을 구하려 성난 불길 속으로 뛰어드는 용기 앞에서 인간의 ____함이 실현된다.","감정_심리,문화_예술"
"시의성","3","상황이나 시기에 딱 알맞은 유용한 성질","아무리 훌륭한 충고일지라도 상대가 상처로 울고 있을 때를 벗어난 언어는 그 어떤 ____도 갖지 못한다.","격식_비즈니스,학술_논리"
"식견","3","사물의 겉모습만이 아니라 본질을 정밀하게 분별하여 판단할 수 있는 깊은 안목","두꺼운 철학서를 수십 권 읽어 쌓은 차가운 지식보다, 한 사람의 아픔을 보듬을 줄 아는 성숙한 ____이 훨씬 따스하게 빛난다.","학술_논리"
"신성","3","속세의 비속함에서 벗어나 함부로 침범할 수 없이 숭고하고 거룩한 가치","아무리 보잘것없어 보이는 한 인간의 생명일지라도, 그 안에는 훼손되어서는 안 될 보편적이고 위엄 있는 ____이 깃들어 있다.","사회_기본"
"실존","3","구체적이고 현실적으로 존재하는 인간 주체의 주체적인 존재 방식","정해진 규격이나 운명에 안주하지 않고, 매 순간 스스로 선택하고 책임을 지며 나의 ____을 능동적으로 증명해 나가야 한다.","학술_논리"
"심연","3","끝이 보이지 않을 만큼 깊은 곳. 헤어나기 어려운 깊은 상태를 비유하는 말","타인의 슬픔을 달래주려 그가 서 있는 끝 모를 절망의 ____을 가만히 들여다볼 때, 우리 안에도 말 없는 연대의 떨림이 흐른다.","감정_심리"
"애도","3","소중한 사람과의 사별이나 큰 상실 앞에 가슴 깊이 통곡하며 슬퍼하고 보내줌","상실의 슬픔을 억지로 참아 누르기보다, 강물 같은 눈물과 조용한 ____의 세월을 허락할 때 우리는 상처를 안고 마주 나아갈 힘을 얻는다.","감정_심리"
"양가성","3","동일한 대상에 대해 서로 반대되는 두 가지 감정이나 태도가 동시에 공존하는 상태","오래 품어온 오랜 꿈을 마침내 이루는 순간의 환희와 알 수 없는 쓸쓸함이라는 ____에 젖어든다.","감정_심리,학술_논리"
"역학","3","물리에서, 물체의 운동에 관한 법칙을 연구하는 학문","거부할 수 없이 서로에게 이끌리는 두 사람 사이에는 만유인력과도 같은 영혼의 ____이 작용하는 듯했다.","학술_논리"
"연역적","3","일반적 원리로부터 개별적인 사실을 이끌어 내는 것","보편적인 사랑의 의미를 깨닫고 나서야 내 곁에 있는 사람의 소중함을 알게 되는 ____인 깨달음의 순간이 있다.","학술_논리"
"예속","3","남의 지배 아래 들어가 그의 처분이나 지배에 매여 따름","타인의 칭찬과 평가에 자신의 가치를 온전히 ____시키는 한 우리는 결코 인생의 진정한 주인이 될 수 없다.","사회_기본,학술_논리"
"예지","3","사물의 이치와 본질을 정확하고 날카롭게 꿰뚫어 보는 신비로운 지혜","오랜 고독과 눈물의 세월을 겪어 낸 사람의 눈빛에는 세상을 품어 안는 맑고 은은한 ____가 서려 있다.","학술_논리"
"외재적","3","사물이나 현상의 내부가 아닌 바깥에 존재하는 것","사회가 매기는 지위나 물질 같은 ____ 가치보다 내면의 고요한 가치를 돌보는 것이 진정한 안식을 준다.","학술_논리"
"우연성","3","필연적인 인과 관계 없이 예기치 않게 일어나는 성질","모든 아름다운 인생의 기적들은 철저한 계획 이면에 찾아오는 눈부신 ____을 통해 피어나기 마련이다.","학술_논리"
"유기성","3","생명체의 장기들처럼 여러 부분이 서로 긴밀하게 연결되어 떼어낼 수 없는 성질","작은 풀잎 하나의 상처가 숲 전체의 기후를 바꾸어 놓듯, 지구상의 모든 생명은 거대한 생태적 ____ 안에서 숨 쉬고 있다.","학술_논리"
"유예","3","일을 실행하지 않고 기한을 미루거나 늦춤","불안한 직면을 피하기 위해 매 순간 선택을 ____하는 것은, 결국 오늘이라는 단 한 번뿐인 삶의 주권을 포기하는 것과 같다.","법률,격식_비즈니스"
"유한성","3","인간이나 존재가 영원하지 못하고 일정한 시공간적 한계를 지님","우리 인생의 가을날이 머지않아 저물어간다는 실존적 ____을 받아들이는 순간, 오늘이라는 평범한 찻잔은 더없이 눈부신 기적이 된다.","학술_논리"
"이분법","3","대상을 서로 완전히 반대되는 두 부분으로 나누는 논리적 구분 방법","세상을 오직 선과 악이라는 차가운 ____의 틀로 재단하는 것은, 그 중간 지대에 깃든 다채로운 인간미를 지워버리는 일이다.","학술_논리"
"이성주의","3","이성과 논리적 사유를 지식과 진리의 유일한 근원으로 삼는 태도","우주와 인생의 신비를 단지 차가운 계산의 틀로만 규명하려는 ____는 때로 건조한 독단에 빠진다.","학술_논리"
"인본주의","3","인간의 가치와 존엄성을 최고의 원칙으로 삼는 사상","기술적 효율성만을 강조하는 문명의 폭주 속에서 우리는 ____의 보이지 않는 등불을 결코 꺼뜨려선 안 된다.","학술_논리,사회_기본"
"일체감","3","타인이나 집단과 자신이 한 몸처럼 연결되어 있다고 느끼는 마음","끝없는 경쟁 속에서도 타인의 아픔을 나의 아픔으로 느끼는 깊은 ____을 공유할 때, 공동체는 다시 살아 숨 쉬기 시작한다.","감정_심리,사회_기본"
"자기기만","3","스스로 자신의 진심을 속이거나 모른 체하여 정당화함","현실의 비겁함을 생존의 불가피함이라 덮어두는 ____은 당장은 안락하지만 내면의 거울을 흐릴 뿐이다.","감정_심리"
"자기부정","3","더 높은 의식으로 거듭나기 위해 현재의 낡은 자아를 해체하고 부인함","어제의 생각과 신념이 지닌 한계를 인정하는 뼈아픈 ____의 산고를 겪지 않는다면, 우리는 결코 성숙의 다음 계절로 넘어갈 수 없다.","감정_심리,학술_논리"
"자기소외","3","자신의 주체적인 본질을 잃어버리고 스스로에게 낯설어지는 상태","타인의 시선과 찬사에만 맹목적으로 복종하다 보면 정작 내면의 나로부터 ____되는 비극을 겪는다.","감정_심리,학술_논리"
"자주성","3","남에게 예속되거나 휘둘리지 않고 제 뜻대로 제 삶을 지켜나가는 성질","외부의 거센 바람 속에서도 스스로 정한 원칙을 꿋꿋이 실천하는 고고한 ____을 가꾸어야 한다.","사회_기본,학술_논리"
"전유","3","외부의 문물이나 사상을 온전히 자기 것으로 만들어 독차지함","예술은 박물관의 액자 속에 갇힌 유물이 아니라 오늘 우리가 일상에서 마음껏 ____해야 할 축제다.","학술_논리,사회_기본"
"절대성","3","다른 가치와 비교되거나 어떠한 조건에도 제약을 받지 않는 고유한 가치나 성질","세상의 어떤 상대적인 기준과 경제적 논리도 훼손할 수 없는, 인간 생명 자체의 숭고한 ____을 엄숙히 지켜야 한다.","학술_논리"
"정교화","3","생각이나 기술, 이론 등을 더욱 정밀하고 꼼꼼하게 다듬음","막연하게 떠돌던 내면의 영감을 성실한 집필을 통해 하나의 단단한 사상으로 ____해 나갔다.","학술_논리"
"정합성","3","어떤 논리적 체계나 진술들이 어긋남 없이 긴밀하고 통일되게 들어맞음","주장하는 말들의 매끄러운 ____을 증명하기보다, 삶이라는 불완전하고 모순된 현장을 온몸으로 살아내는 정직함이 소중하다.","학술_논리"
"조응","3","서로 떨어져 있으면서도 긴밀하게 조화를 이루며 들어맞음","나의 은밀한 눈물과 그가 내미는 부드러운 손길이 아름답게 ____할 때 우리는 연대를 실감한다.","학술_논리"
"존엄성","3","지위나 조건에 관계없이 존재 자체로서 최고로 높고 엄숙한 대접을 받아야 할 성질","타인의 아픔에 무감각해지고 사람을 수단으로 여기는 비정한 시대일수록, 인간의 거룩한 ____을 외치는 외침은 더 굳건해야 한다.","사회_기본,학술_논리"
"즉자적","3","스스로를 성찰하지 않고 본능이나 상황에 끌려가는 단순한 존재 상태","안락함에 취해 하루를 그저 흘려보내는 ____인 삶을 멈추고 늘 깨어 있는 자각의 촛불을 켜라.","학술_논리"
"지향성","3","의식이 항상 어떤 대상이나 목표를 향하고 있는 성질","우리의 생각과 감정은 마음속에 고립된 방이 아니라, 늘 바깥의 타자와 세계를 향해 열려 있는 끊임없는 ____의 상태에 있다.","학술_논리"
"참회","3","자신이 과거에 지은 잘못이나 죄를 가슴 깊이 뉘우치며 돌이켜 반성함","지난날 타인에게 건넸던 차가운 시선과 상처를 지우려 눈물 흘리는 조용한 ____는, 우리 영혼을 가장 눈부시게 씻겨준다.","감정_심리"
"창조성","3","새로운 가치나 개념, 예술적인 작품을 독창적으로 만들어 내는 힘","모든 것이 규격화된 사회적 규칙 아래 갇혀 있을 때도 우리의 ____은 은밀한 틈새에서 꽃을 피운다.","문화_예술,학술_논리"
"타자성","3","나와는 다른 존재로서 지니는 고유하고 이질적인 성질","나의 잣대로 상대를 섣불리 재단하지 않고, 그의 낯설고 고유한 ____을 있는 그대로 응시하고 환대하는 일은 고차원적인 지혜다.","학술_논리,사회_기본"
"탐닉","3","어떤 쾌락적인 일이나 감정에 지나치게 빠져 헤어나오지 못하고 조종당함","일시적이고 감각적인 짜릿함에 영혼을 맡기고 갈구하는 비참한 ____의 끝은, 언제나 뼈아픈 공허와 피로뿐이다.","감정_심리"
"패러다임","3","어떤 한 시대 사람들의 사고를 근본적으로 규정하는 인식의 틀","삶의 위기는 종종 기존에 내가 세상을 바라보던 ____이 완전히 붕괴하고 새로운 가치관이 세워지는 계기가 된다.","학술_논리"
"편재","3","널리 퍼져 있음","외로움은 특별히 불행한 자들의 전유물이 아니라, 숨 가쁘게 오늘을 버텨내는 모든 현대인의 일상 속에 공기처럼 ____해 있는 감정이다.","학술_논리"
"포용성","3","나와 다른 가치나 사람을 너그럽게 품어 안아주는 부드러운 성질","나와 다른 다름을 기꺼이 용납하고 환대하는 마음의 너른 ____이야말로 최고 차원의 지성이다.","감정_심리,사회_기본"
"행위성","3","상황의 지배에 머물지 않고 능동적으로 선택하고 실천하는 힘","가혹한 시련이 우리를 무릎 꿇릴지라도 다시 일어서서 걸어가는 인간 고유의 ____은 경이롭다.","학술_논리"
"희소성","3","인간의 욕망에 비해 자원이나 대상의 존재량이 극히 드물고 적음","우리의 청춘이 눈부시게 찬란한 이유는 그 시절이 지닌 절대적인 ____ 때문이며, 영원하지 않기에 삶은 매 순간 거룩한 축제가 된다.","격식_비즈니스,학술_논리"
