번호,DAY,단어,원문 단어,한자,한자 뜻풀이,출처,품사,뜻
0166,DAY 06,장엄하다,장엄하다01,莊嚴,"하다, 씩씩할, 장, 엄할, 엄",2014수능A,형용사,"씩씩하고 웅장하며 위엄 있고 엄숙하다.
¶ 태양이 산 너머 광활한 벌판에 불이라도 지른 것처럼 서쪽 하늘이 온통 화려하
고 장엄하게 타올랐다. ≪박완서, 도시의 흉년≫"
0167,DAY 06,이질적,이질적,異質的,"다를 이, 바탕 질, 어조사 적",2014수능A,"관형사, , 명사","성질이 다른. 또는 그런 것. ‘다름’, ‘서로 다름’으로 순화.
¶ 이질적 문명 / 이질적 문화"
0168,DAY 06,구원,구원05,救援,"건질 구, 당길 원",2014수능A,명사,"(1) 어려움이나 위험에 빠진 사람을 구하여 줌. ≒ 구증
03(救拯).
¶ 구원 요청 / 구원의 손길 / 구원을 받다. / 구원을 청하다.
(2) {기독교} 인류를 죽음과 고통과 죄악에서 건져 내는 일."
0169,DAY 06,단위,단위02,單位,"홑 단, 자리 위",2014수능A,명사,"(1) 길이, 무게, 수효, 시간 따위의 수량을 수치로 나타낼 때 기초가 되는 일정한 기준. 근,
되, 자, 그램, 리터, 미터, 초 따위가 있다. ≒ 하나치.
¶ 화폐 단위 / 천문학적인 단위의 돈을 요구하다. / 사람이 너무 많아 백이나 천
단위로는 그 수효를 헤아릴 수가 없다.
(2) 하나의 조직 따위를 구성하는 기본적인 한 덩어리.
¶ 조직을 백 명 단위로 결성하다. / 1년 단위로 계약하다.
(3) 일정한 학습량. 흔히 학습 시간을 기준으로 하여 정한다."
0170,DAY 06,가설,가설04,假說,"거짓 가, 말씀 설",2014수능A,명사,"(1) {논리} 어떤 사실을 설명하거나 어떤 이론 체계를 연역하기 위하여 설정한 가정. 이로부
터 이론적으로 도출된 결과가 관찰이나 실험에 의하여 검증되면, 가설의 위치를
벗어나 일정한 한계 안에서 타당한 진리가 된다.
¶ 가설을 검증하다. / 가설을 세우다.
(2) {사회} 사회 조사나 연구에서, 주어진 연구 문제에 대한 예측적 해답. 두 개의 변인이나
그 이상의 변인들 사이의 관계에 대한 추정적 또는 가정적 서술문(敍述文)의 형
식으로 이루어진다."
0171,DAY 06,검증,검증,檢證,"검사할 검, 증거 증",2014수능A,명사,"(1) 검사하여 증명함.
¶ 검증 결과 / 그 이론은 검증을 거치지 않은 것이므로 신뢰할 수 없다.
(2) {법률} 법관이나 수사관이 자기의 감각으로 어떤 대상의 성질이나 상태 따위를 인식하여
증거를 조사하는 일.
¶ 화장터엔 아직도 머리를 잃어버린 시인의 관이 승화하지 못한 채 관할 서 형사
들의 검증을 받고 있었다. ≪김성일, 무차원 근처≫
(3) {철학} 어떤 명제의 참, 거짓을 사실에 비추어 검사하는 일. ≒ 실증
02(實證)(3)."
0172,DAY 06,쇠퇴,쇠퇴,衰退衰頹,"쇠할 쇠, 물러날 퇴, 쇠할 쇠, 무너질 퇴",2014수능A,명사,"기세나 상태가 쇠하여 전보다 못하여 감.
¶ 진보와 쇠퇴 / 국력의 쇠퇴 / 나이가 들면 기억력의 쇠퇴가 오기 마련이다."
0173,DAY 06,규명,규명,糾明,"얽힐 규, 밝을 명",2014수능A,명사,"어떤 사실을 자세히 따져서 바로 밝힘.
¶ 원인 규명 / 민들은 사건의 진상 규명을 촉구하였다."
0174,DAY 06,응전,응전,應戰,"응할 응, 싸울 전",2014수능A,명사,"상대편의 공격에 맞서서 싸움. 또는 상대편의 도전에 응하여 싸움.
¶ 도전과 응전 / 응전 태세를 갖추다."
0175,DAY 06,역경,역경02,逆境,"거스를 역, 지경 경",2014수능A,명사,"일이 순조롭지 않아 매우 어렵게 된 처지나 환경.
¶ 역경에 처하다. / 역경을 헤쳐 나가다. / 그는 어린 시절을 가난과 역경 속에서
보냈다."
0176,DAY 06,창의,창의04,創意,"비롯할 창, 뜻 의",2014수능A,명사,"새로운 의견을 생각하여 냄. 또는 그 의견.
¶ 창의를 억누르는 고압적인 분위기 / 이 건물에서는 모방 이상의 놀랄 만한 창의
가 엿보인다."
0177,DAY 06,분투,분투,奮鬪,"떨칠 분, 싸움 투",2014수능A,명사,"있는 힘을 다하여 싸우거나 노력함.
¶ 분투를 다짐하다. / 장신 선수들을 맞아 잘 싸운 우리 농구 팀의 분투에 박수를
보낸다."
0178,DAY 06,역량,역량01,力量,"힘 력, 헤아릴 량",2014수능A,명사,"어떤 일을 해낼 수 있는 힘.
¶ 역량을 기르다. / 역량을 발휘하다. / 그는 한 부서를 책임지기에는 역량이 부족
하다."
0179,DAY 06,대중,대중02,大衆,"큰 대, 무리 중",2014수능A,명사,"(1) 수많은 사람의 무리.
¶ 대중을 위한 문화 시설 / 대중 앞에 서다. / 대중을 모아 놓고 연설하다. / 대
중의 인기를 얻다.
(2) {사회} 대량 생산·대량 소비를 특징으로 하는 현대 사회를 구성하는 대다수의 사람. 엘
리트와 상대되는 개념으로, 수동적·감정적·비합리적인 특성을 가진다.
(3) {불교} 많이 모인 승려. 또는 비구, 비구니, 우바새, 우바니를 통틀어 이르는 말."
0180,DAY 06,모방,모방04,模倣摸倣摹倣,"본뜰 모, 본뜰 방, 본뜰 모, 본뜰 방, 베낄 모, 본뜰 방",2014수능A,명사,"(1) 다른 것을 본뜨거나 본받음. ≒ 모본
02(模本)(3)·모습
03(模襲).
¶ 외국 문물에 대한 분별없는 모방 / 예술 작품에서는 모방보다 창조를 더 소중히
여긴다.
(2) {사회} 사회 집단의 구성원들 사이에 나타나는 의식적·무의식적 반복 행위. 어떤 개인·
집단의 행위나 표현이 다른 개인·집단에 의하여 비슷하게 반복되면서 사회의 결
합 관계를 강화하게 되며, 어린이의 학습 과정이나 사회적 유행, 또는 전통의
계승에 있어서 중요한 의의를 가진다.
¶ 아이들은 모방을 통해 사회 규범을 익혀 나간다."
0181,DAY 07,배후,배후02,背後,"등 배, 뒤 후",2014수능A,명사,"(1) 등의 뒤.
¶ 배후에서 갑자기 나타나 어깨를 치는 바람에 깜짝 놀랐다.
(2) 어떤 대상이나 대오의 뒤쪽.
¶ 배후를 공격하다. / 배후를 지키다.
(3) 어떤 일의 드러나지 않은 이면.
¶ 배후 세력 / 배후 인물 / 배후를 가리다. / 배후로 지목되다. / 배후에서 조종하
다."
0182,DAY 07,인습,인습01,因習,"인할 인, 익힐 습",2014수능A,명사,"이전부터 전하여 내려오는 습관.
¶ 낡은 인습 / 인습의 굴레를 벗다. / 인습에 얽매이다. / 인습에 젖다. / 과거의
인습을 타파하다."
0183,DAY 07,기성세대,기성세대,,,2014수능A,명사,"현재 사회를 이끌어 가는 나이가 든 세대.
¶ 기성세대의 향수를 자극하는 옛 노래들이 다시 유행한다."
0184,DAY 07,터전,터전01,,,2014수능A,명사,"(1) 집터가 되는 땅.
¶ 부자 동네여서인지 집집마다 터전을 널찍널찍하게 잡고 있다.
(2) 자리를 잡은 곳. ≒ 기지
08(基地)(2).
¶ 경주는 신라의 옛 터전이었다.
(3) 살림의 근거지가 되는 곳.
¶ 터전을 잡다. / 터전을 마련하다. / 활동의 터전을 잃다. / 어부들은 바다가 삶
의 터전이다.
(4) 일의 토대.
¶ 문학의 터전 / 민주주의의 터전을 다지다. / 한국 출판계가 자립할 수 있는 터
전을 마련하다."
0185,DAY 07,인지도,인지도,認知度,"알 인, 알 지, 법도, 도",2014수능A/B,명사,"어떤 사람이나 물건을 알아보는 정도.
¶ 인지도가 낮다. / 인지도가 높다. / 제품의 인지도를 높이다."
0186,DAY 07,언급,언급,言及,"말씀 언, 미칠 급",2014수능A/B,명사,"어떤 문제에 대하여 말함. ≒ 언송
01(言送)(2).
¶ 언급을 회피하다. / 언급을 자제하다. / 그는 이번 사태에 대하여 아무런 언급이
없다."
0187,DAY 07,맥락,맥락,脈絡,"줄기 맥, 이을 락",2014수능A/B,명사,"(1) {의학} 혈관이 서로 연락되어 있는 계통.
(2) 사물 따위가 서로 이어져 있는 관계나 연관. ≒ 맥
01(脈)(2).
¶ 맥락이 닿다. / 그 문제는 문화적인 맥락에서 생각해야 한다."
0188,DAY 07,협찬,협찬,協贊,"화합할 협, 도울 찬",2014수능A/B,명사,"(1) 힘을 합하여 도움.
¶ 안달이 난 군수는 나중 인접해 있던 진영으로 거동하여 만호로 재임 중이던 초
여 선친 천추에게까지 협찬을 요구해 와…. ≪이문구, 오자룡≫
(2) 어떤 일 따위에 재정적으로 도움을 줌.
¶ 이번 공연은 세 방송사의 협찬으로 진행되었다."
0189,DAY 07,전개,전개02,展開,"펼 전, 열 개",2014수능A/B,명사,"(1) 열리어 나타남.
(2) 시작하여 벌임.
(3) 내용을 진전시켜 펴 나감.
(4) 책이나 종이 따위를 열어서 펴거나 널찍하게 폄. ‘펼침’으로 순화.
(5) {군사} 모여 있던 부대가 작전을 펼치기 위하여, 가로 또는 세로로 확장·배치됨. 보통
밀집 대형에서 전투 대형으로 산개함으로써 부대 정면을 확대하는 것을 이른다.
(6) {음악} 작곡에서, 주제를 분석하고 발전시켜 여러 각도에서 자유로이 변화시키는 일."
0190,DAY 07,빈번하다,빈번하다,頻繁,"하다, 자주, 빈, 많을, 번",2014수능A/B,형용사,"번거로울 정도로 도수(度數)가 잦다.
¶ 왕래가 빈번하다. / 전화 고장이 빈번하다. / 최근 도난 사고가 빈번하게 발생하
고 있다."
0191,DAY 07,활성화,활성화,活性化,"살 활, 성품, 성, 될 화",2014수능A/B,명사,"(1) 사회나 조직 등의 기능이 활발함. 또는 그러한 기능을 활발하게 함.
¶ 경제 활성화 / 투자 활성화 / 소극장의 설립이 연극 공연의 활성화로 이루어졌
다.
(2) {의학} 생체나 생체 물질이 그 기능을 발휘함. 또는 그런 일.
(3) {화학} 복사 에너지의 흡수, 방전, 입자살 충격 따위에 의하여 분자, 원자, 이온 따위의
에너지를 높여 화학 반응을 일으키기 쉬운 상태로 됨. 또는 그런 일.
(4) {화학} 촉매 따위에서, 표면 상태가 변화하거나 다른 물질이 첨가되어 그 기능이 높아
짐. 또는 그런 일.
(5) {화학} 효소 작용이 촉진됨. 또는 그런 일."
0192,DAY 07,조사,조사29,照射,"비출 조, 쏠 사",2014수능A,명사,"(1) 햇빛 따위가 내리쬠.
¶ 색 전등들의 조사 아래 발그레 요염해진 화장한 얼굴들이 내 부끄러운 눈을 황
홀하게 했다. ≪조해일, 아메리카≫
(2) 광선이나 방사선 따위를 쬠.
¶ 방사선 조사."
0193,DAY 07,제어,제어01,制御制馭,"절제할 제거느릴 어, 절제할 제, 말 부릴, 어",2014수능A,명사,"(1) 상대편을 억눌러서 제 마음대로 다룸.
¶ 만일 그이가 아니었던들 그 감때사나운 제자들을 누가 제어를 할 것인가.
≪현진건, 무영탑≫
(2) 감정, 충동, 생각 따위를 막거나 누름.
¶ 경애와의 이별과 실직이 가져다준 섣부른 자포자기의 감정이 명훈의 도덕적 제
어 능력을 없애 가는 최초의 증상이라고 할 수 있었다. ≪이문열, 변경≫
(3) 기계나 설비 또는 화학 반응 따위가 목적에 알맞은 작용을 하도록 조절함.
¶ 자동차가 갑자기 제어가 되지 않는다."
0194,DAY 07,편차,편차02,偏差,치우칠 편어긋날 차,2014수능A,명사,"(1) {군사} 정확하게 조준하여 쏜 탄환의 탄착점과 표적 사이의 거리.
(2) {수학} 수치, 위치, 방향 따위가 일정한 기준에서 벗어난 정도나 크기. ≒ 편의03(偏倚)."
0195,DAY 07,정밀,정밀02,精密,"정할 정, 빽빽할 밀",2014수능B,명사,"(주로 일부 명사 앞에 쓰여) 아주 정교하고 치밀하여 빈틈이 없고 자세함.
¶ 정밀 검사 / 정밀 조사 / 정밀 검진을 받다. / 이 작업은 정밀을 요한다."
0196,DAY 07,보정,보정02,補正,"기울 보, 바를 정",2014수능A,명사,"(1) 부족한 부분을 보태어 바르게 함. ‘바로잡음’으로 순화.
(2) {물리} 실험, 관측 또는 근삿값 계산 따위에서 결과에 포함된 외부적 원인에 의한 오차
를 없애고 참값에 가까운 값을 구하는 것.
(3) {법률} 소장(訴狀)의 형식적 요인 따위에 결함이 있을 경우에 이를 정정하고 보충하는
일.
(4) {수공} 옷 가공에서, 시침바느질한 옷을 입혀 보고 모자란 것을 보태고 잘못을 바로잡
음."
0197,DAY 07,체제,체제02,體制,"몸 체, 마를 제",2014수능B,명사,"(1) 생기거나 이루어진 틀. 또는 그런 됨됨이. ‘형식01’으로 순화.
(2) 사회를 하나의 유기체로 볼 때에, 그 조직이나 양식, 또는 그 상태를 이르는 말.
¶ 냉전 체제 / 체제 개편 / 중앙 집권 체제 / 새로운 지도 체제가 들어서다.
(3) 일정한 정치 원리에 바탕을 둔 국가 질서의 전체적 경향.
(4) {생물} 생물체 구조의 기본 형식. 몸체 각 부분의 분화 상태 및 상호 관계를 이른다.
(5) {철학} 각 부분이 목적에 맞도록 유기적으로 통일된 전체."
0198,DAY 07,매양,매양,,,2014수능B,부사,"매 때마다. ≒ 매매
03(每每)·매번[Ⅱ]·매양·연차
03(連次)(2).
¶ 약속을 번번이 어기다. / 시험에 번번이 낙방하다. / 좋은 기회를 번번이 놓치
다."
0199,DAY 07,이질성,이질성,異質性,다를 이바탕 질성품 성,2014수능B,명사,"서로 바탕이 다른 성질이나 특성.
¶ 통일 이후 남북한 이질성 극복이 무엇보다 중요하다."
0200,DAY 07,전제,전제08,前提,"앞 전, 끌 제",2014수능B,명사,"(1) 어떠한 사물이나 현상을 이루기 위하여 먼저 내세우는 것.
¶ 전제 조건 / 전제를 달다. / 그들은 결혼을 전제로 사귀고 있다.
(2) {논리} 추리를 할 때, 결론의 기초가 되는 판단. 삼단 논법에서는 대전제, 소전제를 구별
한다."
0201,DAY 07,분별,분별01,分別,"나눌 분, 나눌 별",2014수능B,명사,"(1) 서로 다른 일이나 사물을 구별하여 가름.
¶ 지금은 귀천의 분별이 없어졌다.
(2) 세상 물정에 대한 바른 생각이나 판단. ≒ 분변01(分辨).
¶ 분별 있게 행동하다. / 그는 분별이 없는 사람이다.
(3) 어떤 일에 대하여 배려하여 마련함.
¶ 꺽정이가 새 집에 가고 처소가 비는 때 색시를 아직 혼자 두기 염려되어서 한온
이의 분별로 늙은 여편네들이 함께 와서 있었다. ≪홍명희, 임꺽정≫
(4) {화학} 두 가지 이상의 물질이 섞여 있는 혼합물을 물리적·화학적 성질의 차이를 이용하
여 차례차례 단계적으로 분리함."
0202,DAY 07,그릇되다,그릇되다,,,2014수능B,동사,"(1) (주로 ‘그릇된’, ‘그릇되게’ 꼴로 쓰여) 어떤 일이 사리에 맞지 아니하다.
¶ 그릇된 가치관을 가지다. / 그릇된 길로 빠지다
(2) 어떤 일이나 형편이 잘못되다.
¶ 행여 일이 그릇될 때 퇴로가 없어 어쩌겠소? ≪이문열, 황제를 위하여≫
(3) 어떤 상태나 조건이 좋지 아니하다.
¶ 서재에서 무슨 서류인지 읽고 있는 아버지는 웬일인지 오늘만은 얼굴빛이 몹시
그릇되어 보였다. ≪김말봉, 찔레꽃≫"
0203,DAY 07,서문,서문03,序文,"차례 서, 글월 문",2014수능B,명사,"(1) 책이나 논문 따위의 첫머리에 내용이나 목적 따위를 간략하게 적은 글. ≒ 두서
01(頭
書)(1)·머리글·서기03(序記)·서문03(序文)(1)·서언02(序言)·서제01(序題).
¶ 서문을 보면 책의 내용을 대강 알 수 있다.
(2) {문학} 한문체의 한 가지인 서(序)의 체(體)로 된 글. ≒ 서
08(序)(2)."
0204,DAY 07,인지,인지08,認知,"알 인, 알 지",2014수능B,명사,"(1) 어떤 사실을 인정하여 앎.
(2) {법률} 혼인 외에 출생한 자녀에 대하여 친아버지나 친어머니가 자기 자식임을 확인하는
일.
(3) {심리} 자극을 받아들이고, 저장하고, 인출하는 일련의 정신 과정. 지각, 기억, 상상, 개
념, 판단, 추리를 포함하여 무엇을 안다는 것을 나타내는 포괄적인 용어로 쓴다.
≒ 인식(認識)(2)."
0205,DAY 07,지표,지표01,地表,"땅 지, 겉 표",2014수능B,명사,"지구의 표면. 또는 땅의 겉면. ≒ 땅거죽·땅겉·지표면.
¶ 마그마가 지표를 뚫고 솟아오르다. / 더운 열기가 지표를 뜨겁게 달구었다."
0206,DAY 07,편향,편향,偏向,"치우칠 편, 향할 향",2014수능B,명사,"(1) 한쪽으로 치우침.
¶ 서구 편향의 사고 / 개인적인 편향에 치우치다.
(2) {물리} 대전(帶電) 입자의 비행 방향을 전기장이나 자기장을 가하여 변화시킴."
0207,DAY 07,걸작,걸작,傑作,"뛰어날 걸, 만들 작",2014수능B,명사,"(1) 매우 훌륭한 작품.
¶ 당시 작품 중 걸작만을 모아 전시회를 열었다.
(2) 우스꽝스럽거나 유별나서 남의 주목을 끄는 사물이나 사람.
¶ 그의 시를 추천해 준 대가 시인의 추천사가 걸작이었다. ≪김승옥, 환상 수첩≫"
0208,DAY 07,소재,소재05,素材,"본디 소, 재목 재",2014수능B,명사,"(1) 어떤 것을 만드는 데 바탕이 되는 재료.
¶ 첨단 소재 / 전자 부품의 소재를 개발하다.
(2) 예술 작품에서 지은이가 말하고자 하는 바를 나타내기 위해 선택하는 재료.
¶ 한국 전쟁을 소재로 삼은 영화들 가운데 ‘전송가(戰頌歌)’를 연출한 감독이 바로
‘바람과 함께 지다’를 만든…. ≪안정효, 할리우드 키드의 생애≫
(3) {문학} 글의 내용이 되는 재료.
¶ 그 작가는 요즘 중산층의 의식과 생활을 소재로 한 작품을 쓰고 있다."
0209,DAY 07,탁월하다,탁월하다,卓越,"하다, 높을, 탁, 넘을, 월",2014수능B,형용사,"남보다 두드러지게 뛰어나다. ≒ 탁락하다
01.
¶ 탁월한 선택 / 그는 이야기를 재미있게 하는 데 탁월한 능력을 가지고 있다."
0210,DAY 07,다채롭다,다채롭다,多彩,"롭다, 많을, 다, 무늬, 채",2014수능B,형용사,"여러 가지 색채나 형태, 종류 따위가 한데 어울리어 호화스럽다. ≒ 컬러풀하다.
¶ 라디오 방송은 새로운 소식은 물론, 오락과 교양에 관한 내용을 다채롭게 전파
로 보내 주고 있다. / 가을 운동회에서는 다채로운 행사가 열린다."
0211,DAY 08,가공,가공01,加工,"더할 가, 장인 공",2014수능B,명사,"(1) 원자재나 반제품을 인공적으로 처리하여 새로운 제품을 만들거나 제품의 질을 높임.
¶ 식품 가공 / 목재 가공 / 가공 기술.
(2) {법률} 남의 소유물에 노력을 가하여 새로운 물건을 만들어 내는 일."
0212,DAY 08,전형,전형04,典型,"법 전, 거푸집 형",2014수능B,명사,"(1) 기준이 되는 형.
(2) 같은 부류의 특징을 가장 잘 나타내고 있는 본보기.
¶ 그는 고뇌하는 인간의 전형이다. / 시골 농가를 그릴 때는 내가 자란 고향의 초
가를 전형으로 떠올린다. / 하회는 ‘작은 안동’이라고 해야 할 정도로 안동 문
화의 한 전형을 보여 준다.
(3) 자손이나 제자의 모양이나 행동이 그 조상이나 스승을 닮은 틀."
0213,DAY 08,유례없이,유례없이,類例,"없이, 무리, 류, 법식, 례",2014수능B,부사,"(1) 같거나 비슷한 예가 없이.
(2) 전례가 없이.
¶ 사상 유례없이 치솟는 주가"
0214,DAY 08,자리매김,자리매김,,,2014수능B,명사,"사회나 사람들의 인식 따위에 어느 정도의 고정된 위치를 차지함. 또는 그런 일.
¶ 방송을 시작한 지 1년도 안 된 새내기지만 그녀의 자리매김은 눈부실 정도로 탄
탄하다."
0215,DAY 08,암묵적,암묵적,暗黙的,"어두울 암, 잠잠할 묵, 어조사 적",2014수능B,"관형사, , 명사","자기의 의사를 밖으로 나타내지 아니한. 또는 그런 것.
¶ 암묵적 강요 / 암묵적 담합"
0216,DAY 08,염원,염원,念願,"생각할 념, 원할 원",2014수능B,명사,"마음에 간절히 생각하고 기원함. 또는 그런 것. ‘바람
02’, ‘소원
04’으로 순화.
¶ 우리 겨레의 염원 / 염원이 크다. / 염원이 이루어지다. / 염원에 그치다. / 보
리와 감자와 옥수수만이 자라는 밭을 양답(良畓)으로 만들기 위해 물을 끌어 내
리리라는 오랜 염원과 함께…. ≪한수산, 유민≫"
0217,DAY 08,담론,담론,談論,"말씀 담, 말할 론",2014수능B,명사,"(1) 이야기를 주고받으며 논의함.
¶ 담론을 즐기다. / 담론을 벌이다. / 담론으로 밤을 밝히다.
(2) {문학} 소설에서, 서사 구조의 내용을 이루는 서술 전체.
(3) {언어} 한 문장보다 더 큰 일련의 문장."
0218,DAY 08,정수,정수20,精髓,"정할 정, 골수 수",2014수능B,명사,"(1) 뼈 속에 있는 골수. ≒ 정
29(精)(1).
(2) 사물의 중심이 되는 골자 또는 요점.
¶ 민족 문화의 정수 / 정수를 걸러 내다. / 정수를 모아 놓다. / 회화의 정수를
보이다."
0219,DAY 08,지평,지평01,地平,"땅 지, 평평할 평",2014수능B,명사,"(1) 대지의 편평한 면.
¶ 저 아득한 높이에서 반짝이고 있는 수면을 기어올라야만 비로소 탁 트인 지평을
조망할 수 있으리라고 생각되는 것이었다. ≪이동하, 도시의 늪≫
(2) 편평한 대지의 끝과 하늘이 맞닿아 경계를 이루는 선.
¶ 지평 위로 해가 떠오른다.
(3) 사물의 전망이나 가능성 따위를 비유적으로 이르는 말.
¶ 유전 공학의 새 지평을 열다. / 그의 소설은 한국 문학의 지평을 넓혔다."
0220,DAY 08,창시하다,창시하다,創始,"하다, 비롯할, 창, 처음, 시",2014수능B,동사,"【…을】 어떤 사상이나 학설 따위를 처음으로 시작하거나 내세우다. ≒ 시창하다
02·창개하다.
¶ 특사로 일 년 만에 귀양이 풀린 나인영은 나철이라 개명하고 대종교를 창시하여
학도를 모았다. ≪현기영, 변방에 우짖는 새≫"
0221,DAY 08,현학적,현학적,衒學的,"자랑할 현, 배울 학, 어조사 적",2014수능B,"관형사, , 명사","학식이 있음을 자랑하는. 또는 그런 것.
¶ 현학적 태도 / 현학적 말투 / 현학적인 사람 / 글이 너무 현학적이어서 내용을
이해하기 어렵다. / 기차간에서도 그 친구는 그 현학적인 표현으로 내 호흡을
답답하게 했었다. ≪김승옥, 그와 나≫"
0222,DAY 08,유려하다,유려하다,流麗,"하다, 흐를, 류, 고울, 려",2014수능B,형용사,"글이나 말, 곡선 따위가 거침없이 미끈하고 아름답다.
¶ 유려한 문장 / 유려한 필치 / 유려한 문체 / 에밀레종의 곡선은 유려하기로 유
명하다. / 그의 말은 유려하여 듣는 사람의 가슴을 울리는 바가 있었다.
≪전상국, 달평 씨의 두 번째 죽음≫"
0223,DAY 08,착상,착상02,着想,"붙을 착, 생각할 상",2014수능B,명사,"어떤 일이나 창작의 실마리가 되는 생각이나 구상 따위를 잡음. 또는 그 생각이나 구상.
¶ 착상을 얻다 / 착상이 기발하다. / 문제 해결을 위한 기발한 착상이 떠올랐다."
0224,DAY 08,부조,부조03,扶助,"도울 부, 도울 조",2013수능,명사,"(1) 잔칫집이나 상가(喪家) 따위에 돈이나 물건을 보내어 도와줌. 또는 돈이나 물건.
¶ 결혼식 부조 / 장례식 부조. / 나졸 초상에 부조가 쌀이 두 되? 허허, 살다가
까마귀 아래턱 튕길 소리 한번 들어보겠네. ≪송기숙, 녹두장군≫
(2) 남을 거들어서 도와주는 일.
¶ 생계 부조 / 이 딸이 집에 와 있으면 그만큼 살림에 부조가 되고 의지가 되련마
는 뺏긴 것이 아깝고 샘도 나는 것이었다. ≪염상섭, 취우≫"
0225,DAY 08,해이,해이01,解弛,"풀 해, 늦출 이",2013수능,명사,"긴장이나 규율 따위가 풀려 마음이 느슨함. ‘풀림’으로 순화.
¶ 진종일 걷는 동안 얼마쯤 가라앉았던 마음이 다 왔다는 해이 때문인지 다시 다
급해져서, 그는 대낮같이 밝은 길에서 두어 번이나 발을 헛디뎠다.
≪한무숙, 만남≫"
0226,DAY 08,충당,충당01,充當,"찰 충, 당할 당",2013수능,명사,"모자라는 것을 채워 메움.
¶ 자원 충당 / 사업 자금 충당 / 인력 충당"
0227,DAY 08,창출,창출01,創出,"비롯할 창, 날 출",2013수능,명사,"전에 없던 것을 처음으로 생각하여 지어내거나 만들어 냄. ‘새로 만듦’으로 순화.
¶ 공화국의 창출 과정 / 새로운 국가 지도력의 창출 / 소설은 어떤 태도나 신념의
창출 과정이지 그것의 완결적 주장이 아니라는 점에서….
≪이청준, 전짓불 앞의 방백≫"
0228,DAY 08,신탁,신탁02,信託,"믿을 신, 부탁할 탁",2013수능,명사,"(1) 믿고 맡김.
(2) {법률} 일정한 목적에 따라 재산의 관리와 처분을 남에게 맡기는 일."
0229,DAY 08,체납,체납,滯納,"막힐 체, 바칠 납",2013수능,명사,"세금 따위를 기한까지 내지 못하여 밀림. ≒ 건납(愆納).
¶ 세금 체납 / 전화 요금 체납으로 전화가 끊겼다."
0230,DAY 08,징수,징수02,徵收,"부를 징, 거둘 수",2013수능,명사,"(1) 나라, 공공 단체, 지주 등이 돈, 곡식, 물품 따위를 거두어들임. ≒ 징봉(徵捧)(1).
¶ 공물 징수 / 조합비 징수 / 시험료 징수 / 혹독한 소작료 징수에 시달린 소작인
들.
(2) {법률} 행정 기관이 법에 따라서 조세, 수수료, 벌금 따위를 국민에게서 거두어들이는
일. ≒ 징봉(2)."
0231,DAY 08,고갈,고갈01,枯渴,"마를 고, 목마를 갈",2013수능,명사,"(1) 물이 말라서 없어짐.
¶ 식수 고갈로 어려움을 겪다.
(2) 어떤 일의 바탕이 되는 돈이나 물자, 소재, 인력 따위가 다하여 없어짐.
¶ 자원의 고갈 현상 / 그 단체는 자금 고갈로 어려움을 겪고 있다.
(3) 느낌이나 생각 따위가 다 없어짐.
¶ 생명에 대한 외경심의 고갈 / 정서의 고갈로 사회는 더욱 각박하게 되었다."
0232,DAY 08,추출,추출,抽出,"뺄 추, 날 출",2013수능,명사,"(1) 전체 속에서 어떤 물건, 생각, 요소 따위를 뽑아냄.
(2) {수학} 모집단(母集團)에서 표본을 뽑아내는 일.
(3) {화학} 고체 또는 액체의 혼합물에 용매(溶媒)를 가하여 혼합물 속의 어떤 물질을 용매
에 녹여 뽑아내는 일."
0233,DAY 08,연산,연산05,演算,"멀리흐를, 연, 셀 산",2013수능,명사,"{수학}
(1) 식이 나타낸 일정한 규칙에 따라 계산함. ≒ 운산04(運算).
(2) 공집합이 아닌 집합에서, 그 집합에 속하는 임의의 두 원소로부터 제3의 원소를 만듦."
0234,DAY 08,보완,보완,補完,"기울 보, 완전할 완",2013수능,명사,"모자라거나 부족한 것을 보충하여 완전하게 함.
¶ 보완 대책 / 제도의 보완 작업 / 단점 보완 / 문제점 보완을 위하여 최선을 다
하였다. / 이 법의 시행에 허점이 있어 제도적으로 대폭 보완이 필요하다."
0235,DAY 08,출력,출력,出力,"날 출, 힘 력",2013수능,명사,"(1) 어떤 일에 필요한 돈이나 물자 따위를 내놓음.
(2) {기계} 엔진, 전동기, 발전기 따위가 외부에 공급하는 기계적·전기적 힘.
¶ 송신을 하는 데는 발전기의 출력이 모자라는 탓인지 상대편으로부터의 반응이
없었다. ≪이병주, 지리산≫
(3) {물리} 원동기, 펌프 따위 기계나 장치가 입력을 받아 외부로 해낼 수 있는 일의 양.
(4) {컴퓨터} 컴퓨터 따위의 기기(機器)나 장치가 입력을 받아 일을 하고 외부로 결과를 내
는 일. 또는 그 결과. ‘냄’, ‘빼냄’으로 순화. ≒ 아웃풋(4)."
0236,DAY 08,착안,착안02,着眼,"붙을 착, 눈 안",2013수능,명사,"어떤 일을 주의하여 봄. 또는 어떤 문제를 해결하기 위한 실마리를 잡음. ‘눈여겨봄’, ‘실마
리를 얻음’으로 순화. ≒ 착목
01(着目).
¶ 착안 사항 / 이 얼마나 기상천외의 착안을 끝내 해낸 것입니까.
≪장용학, 요한 시집≫"
